English,Russian,Hindi
Go now.,А теперь уходи.,अब जाओ।
Go now.,Идите сейчас.,अब जाओ।
Go now.,Поезжайте сейчас.,अब जाओ।
Go now.,Иди сейчас.,अब जाओ।
Go now.,Поезжай сейчас.,अब जाओ।
Go now.,Теперь иди.,अब जाओ।
Go now.,Теперь идите.,अब जाओ।
Go now.,Иди уже.,अब जाओ।
Go now.,Идите уже.,अब जाओ।
Got it!,Понял!,समझ गया!
Got it?,Понял?,समझ गया?
Got it?,Усёк?,समझ गया?
Got it?,Усекла?,समझ गया?
Got it?,Ферштейн?,समझ गया?
He ran.,Он бежал.,वह भागा।
Hop in.,Залезай.,जल्दी से आना।
Hop in.,Запрыгивай.,जल्दी से आना।
Hug me.,Обними меня.,मुझे गले लगाओ।
Hug me.,Обнимите меня.,मुझे गले लगाओ।
I fell.,Я упал.,मैं गिर गया।
I fell.,Я упала.,मैं गिर गया।
I knit.,Я вяжу.,मैं बुनता हूं.
I know.,Я знаю.,मुझे पता है।
I know.,Знамо дело.,मुझे पता है।
I know.,Знаю.,मुझे पता है।
I left.,Я ушёл.,मैंने।
I left.,Я ушла.,मैंने।
I left.,Я уехал.,मैंने।
I left.,Я уехала.,मैंने।
I lied.,Я солгал.,मैंने झूठ बोला।
I lied.,Я соврал.,मैंने झूठ बोला।
I lost.,Я проиграл.,मेरी हार हुई।
I lost.,Я проиграла.,मेरी हार हुई।
I paid.,Я заплатил.,मैंने भुगतान कर दिया है।
I paid.,Я заплатила.,मैंने भुगतान कर दिया है।
I quit.,Я увольняюсь.,मैं छोड़ता हूं।
I swim.,Я плаваю.,मैं तैरता हूं।
I work.,Я работаю.,मैं काम करता हूँ।
I'm 19.,Мне девятнадцать лет.,मैं 19 का हूं।
I'm OK.,Со мной всё в порядке.,मैं ठीक हूं।
I'm OK.,У меня всё хорошо.,मैं ठीक हूं।
I'm OK.,Я в порядке.,मैं ठीक हूं।
I'm OK.,У меня всё в порядке.,मैं ठीक हूं।
I'm up.,Я встал.,मैं तैयार हूं।
I'm up.,Я встала.,मैं तैयार हूं।
Listen.,Слушай!,सुनना।
Listen.,Послушай!,सुनना।
Listen.,Слушай.,सुनना।
Listen.,Слушайте.,सुनना।
Listen.,Послушай.,सुनना।
Listen.,Послушайте.,सुनना।
No way!,Не может быть!,बिलकुल नहीं!
No way!,Это невозможно!,बिलकुल नहीं!
No way!,Никогда в жизни!,बिलकुल नहीं!
No way!,Быть не может!,बिलकुल नहीं!
No way!,Это исключено!,बिलकुल नहीं!
No way!,Ни в коем случае!,बिलकुल नहीं!
No way!,Ни в коем случае.,बिलकुल नहीं!
No way!,Ни за что!,बिलकुल नहीं!
Really?,Правда?,वास्तव में?
Really?,"Что, правда?",वास्तव में?
Really?,Да неужели?,वास्तव में?
Really?,Да неужто это правда?,वास्तव में?
Really?,Вот как?,वास्तव में?
Really?,На самом деле?,वास्तव में?
Really?,Реально?,वास्तव में?
Try it.,Попробуй.,इसे अजमाएं।
We try.,Мы пытаемся.,हम कोशिश करेंगे।
We won.,Мы выиграли.,हम जीत गए।
We won.,Мы победили.,हम जीत गए।
Why me?,Почему я?,मैं क्यों?
Ask Tom.,Спроси у Тома.,टॉम से पूछो.
Ask Tom.,Спросите у Тома.,टॉम से पूछो.
Ask Tom.,Попроси Тома.,टॉम से पूछो.
Ask Tom.,Попросите Тома.,टॉम से पूछो.
Ask Tom.,Спроси Тома.,टॉम से पूछो.
Ask Tom.,Спросите Тома.,टॉम से पूछो.
Awesome!,Отвал башки!,बहुत बढ़िया!
Awesome!,Зашибись.,बहुत बढ़िया!
Be calm.,Спокойно!,शांत रहो।
Be calm.,Будь спокоен.,शांत रहो।
Be calm.,Будь спокойна.,शांत रहो।
Be calm.,Будьте спокойны.,शांत रहो।
Be fair.,Будь честен!,निष्पक्ष हो।
Be fair.,Будь справедлив.,निष्पक्ष हो।
Be fair.,Будь справедлива.,निष्पक्ष हो।
Be fair.,Будьте справедливы.,निष्पक्ष हो।
Be nice.,Будь милым.,अच्छा होगा।
Beat it.,Иди отсюда.,इसे हरायें।
Beat it.,Катись отсюда.,इसे हरायें।
Beat it.,Исчезни.,इसे हरायें।
Beat it.,Проваливай.,इसे हरायें।
Beat it.,Убирайся.,इसे हरायें।
Beat it.,Вали отсюда.,इसे हरायें।
Burn it.,Сожги его.,इसे जला।
Burn it.,Сожгите его.,इसे जला।
Call me.,Позвони мне.,मुझे कॉल करो।
Call me.,Позвоните мне.,मुझे कॉल करो।
Call me.,Позови меня.,मुझे कॉल करो।
Call me.,Позовите меня.,मुझे कॉल करो।
Call us.,Позови нас.,हमें कॉल करें.
Call us.,Позвони нам.,हमें कॉल करें.
Call us.,Позвоните нам.,हमें कॉल करें.
Call us.,Позовите нас.,हमें कॉल करें.
Come in.,Зайдите!,अंदर आएं।
Come in.,Входите.,अंदर आएं।
Come in.,Входи!,अंदर आएं।
Come in.,Заходи.,अंदर आएं।
Come in.,Входи.,अंदर आएं।
Come in.,Войди.,अंदर आएं।
Come in.,Заходите.,अंदर आएं।
Come in.,Зайди.,अंदर आएं।
Come in.,Войдите.,अंदर आएं।
Come on!,Пошли!,चलो भी!
Come on!,Давай!,चलो भी!
Come on!,Да ладно!,चलो भी!
Come on.,Пошли!,चलो भी।
Come on.,Пойдём!,चलो भी।
Come on.,Давай!,चलो भी।
Come on.,Давайте!,चलो भी।
Drop it!,Бросьте!,जाने दो!
Drop it.,Забей.,जाने दो।
Fold it.,Согни его.,मोड़ना।
Fold it.,Согни её.,मोड़ना।
Fold it.,Согните его.,मोड़ना।
Fold it.,Согните её.,मोड़ना।
Fold it.,Сложи его.,मोड़ना।
Fold it.,Сложите его.,मोड़ना।
Fold it.,Сложи её.,मोड़ना।
Fold it.,Сложите её.,मोड़ना।
Get Tom.,Приведи Тома.,टॉम प्राप्त करें.
Get out!,Убирайся!,चले जाओ!
Get out!,Проваливай!,चले जाओ!
Get out!,Убирайтесь!,चले जाओ!
Get out!,Проваливайте!,चले जाओ!
Get out.,Катись отсюда.,चले जाओ।
Get out.,Вон.,चले जाओ।
Get out.,Проваливай.,चले जाओ।
Get out.,Убирайся.,चले जाओ।
Get out.,Убирайтесь.,चले जाओ।
Go away!,Уходи!,दूर जाओ!
Go away!,Уходи.,दूर जाओ!
Go away!,Уходите!,दूर जाओ!
Go away!,Уходите.,दूर जाओ!
Go away.,Уходи!,दूर जाओ।
Go away.,Уходи.,दूर जाओ।
Go away.,Иди отсюда.,दूर जाओ।
Go away.,Уходите.,दूर जाओ।
Go away.,Уйди.,दूर जाओ।
Go away.,Уйдите.,दूर जाओ।
Go back.,Иди обратно.,वापस जाओ।
Go back.,Идите обратно.,वापस जाओ।
Go back.,Поезжай обратно.,वापस जाओ।
Go back.,Поезжайте обратно.,वापस जाओ।
Go home.,Идите домой.,घर जाओ।
Go home.,Иди домой.,घर जाओ।
Go slow.,Двигайся медленно.,धीरे जाइये।
Goodbye!,До свидания!,अलविदा!
Goodbye!,Доброго пути.,अलविदा!
Hang on.,Держись!,डटे रहो।
Hang on.,Держитесь!,डटे रहो।
He came.,Он пришёл.,उसने आ।
He quit.,Он уволился.,उसने छोड़ दिया।
He runs.,Он бегает.,वह दौड़ता है।
Help me!,Помогите мне!,मेरी सहायता करो!
Help me!,Помоги мне!,मेरी सहायता करो!
Help me.,Помогите мне.,मेरी सहायता करो।
Help me.,Помоги мне.,मेरी सहायता करो।
Help me.,Помоги-ка мне.,मेरी सहायता करो।
Help us.,Помогите нам!,हमारी मदद करें।
Help us.,Помоги нам!,हमारी मदद करें।
Help us.,Помоги нам.,हमारी मदद करें।
Help us.,Помогите нам.,हमारी मदद करें।
"Hi, Tom.","Привет, Том.",नमस्ते टॉम।
Hit Tom.,Бей Тома!,टॉम को मारो.
Hit Tom.,Ударь Тома!,टॉम को मारो.
Hit Tom.,Бейте Тома!,टॉम को मारो.
Hold it!,Подожди!,इसे पकड़ो!
Hold it!,Не двигайся!,इसे पकड़ो!
Hold it!,Ни с места!,इसे पकड़ो!
Hold it!,Замри!,इसे पकड़ो!
Hold on.,Не кладите трубку.,पकड़ना।
Hug Tom.,Обними Тома.,टॉम को गले लगाओ.
Hug Tom.,Обнимите Тома.,टॉम को गले लगाओ.
I agree.,Я согласен.,मैं सहमत हूं।
I agree.,Я согласна.,मैं सहमत हूं।
I bowed.,Я поклонился.,मैंने प्रणाम किया.
I cried.,Я плакал.,मैं रोया।
I cried.,Я плакала.,मैं रोया।
I dozed.,Я вздремнул.,मुझे झपकी आ गयी.
I drove.,Я вёл машину.,मैंने चलाया।
I drove.,Я вела машину.,मैंने चलाया।
I moved.,Я переехал.,मैं ले जाया गया।
I moved.,Я переехала.,मैं ले जाया गया।
I slept.,Я спал.,मैं सो गया।
I slept.,Я спала.,मैं सो गया।
I snore.,Я храплю.,मैं खर्राटे लेता हूँ.
I stood.,Я стоял.,मैं खड़ा था।
I swore.,Я выругался.,मेें कसम खाता हुँ।
I swore.,Я поклялся.,मेें कसम खाता हुँ।
I tried.,Я пытался.,मैंने कोशिश की।
I tried.,Я попробовала.,मैंने कोशिश की।
I waved.,Я махнул рукой.,मैंने लहराया।
I waved.,Я махнула рукой.,मैंने लहराया।
I'll go.,Я пойду.,मैं जाऊँगा।
I'll go.,Я поеду.,मैं जाऊँगा।
I'm Tom.,Я Том.,मैं टॉम हूं.
I'm bad.,Я плохой.,मैं बुरा हूँ।
I'm bad.,Я плохая.,मैं बुरा हूँ।
I'm fat.,Я толстый.,मैं मोटा हूँ।
I'm fat.,Я толстая.,मैं मोटा हूँ।
I'm fit.,Я в форме.,मैं फिट हूं।
I'm hit!,Меня ударили!,मैंने मारा!
I'm hot.,Мне жарко.,मैं गरम हूँ.
I'm ill.,Я болен.,मैं बीमार हूँ।
I'm ill.,Я болею.,मैं बीमार हूँ।
I'm ill.,Я больна.,मैं बीमार हूँ।
I'm mad.,Я сумасшедший.,मैं पागल हो रहा हूँ।
I'm mad.,Я злюсь.,मैं पागल हो रहा हूँ।
I'm new.,Я новичок.,मैं नया हूं।
I'm new.,Я новенькая.,मैं नया हूं।
I'm old.,Я старый.,मैं बूढ़ा हो गया हूँ।
I'm old.,Я старая.,मैं बूढ़ा हो गया हूँ।
I'm sad.,Мне грустно.,मैं दुखी हूं।
I'm shy.,Я стесняюсь.,मैं शर्मीला हूँ।
I'm shy.,Я стеснительный.,मैं शर्मीला हूँ।
I'm shy.,Я стеснительная.,मैं शर्मीला हूँ।
I'm shy.,Я застенчивый.,मैं शर्मीला हूँ।
I'm shy.,Я застенчивая.,मैं शर्मीला हूँ।
I'm shy.,Я робкий.,मैं शर्मीला हूँ।
I'm shy.,Я робкая.,मैं शर्मीला हूँ।
I'm shy.,Я стеснителен.,मैं शर्मीला हूँ।
I'm shy.,Я стеснительна.,मैं शर्मीला हूँ।
I'm wet.,Я мокрая.,मै गीला हूँ।
I'm wet.,Я мокрый.,मै गीला हूँ।
It's OK.,Всё в порядке.,कोई बात नहीं।
It's OK.,Всё нормально.,कोई बात नहीं।
It's me!,Это я.,यह मैं हूं!
It's me!,Это я!,यह मैं हूं!
It's me.,Это я.,यह मैं हूं।
Join us.,Присоединяйся к нам.,हमसे जुड़ें।
Join us.,Присоединяйтесь к нам.,हमसे जुड़ें।
Keep it.,Оставь себе.,इसे रखें।
Keep it.,Оставьте себе.,इसे रखें।
Keep it.,Оставь его себе.,इसे रखें।
Keep it.,Оставьте его себе.,इसे रखें।
Keep it.,Оставь её себе.,इसे रखें।
Keep it.,Оставьте её себе.,इसे रखें।
Kill it.,Убей его.,उसे मार।
Kill it.,Убейте его.,उसे मार।
Kill it.,Убей её.,उसे मार।
Kill it.,Убейте её.,उसे मार।
Kiss me.,Поцелуйте меня.,मुझे किस करो।
Lock it.,Запри его.,ताला लगाएं।
Lock it.,Заприте его.,ताला लगाएं।
Lock it.,Запри её.,ताला लगाएं।
Lock it.,Заприте её.,ताला लगाएं।
Look up.,Посмотрите наверх.,ऊपर देखो।
Look up.,Посмотри наверх.,ऊपर देखो।
"Me, too.",Я тоже.,मैं भी।
"Me, too.",Мне тоже.,मैं भी।
"Me, too.",Меня тоже.,मैं भी।
Open up.,Открой.,खुलना।
Open up.,Открывай.,खुलना।
Perfect!,Безупречно!,उत्तम!
Perfect!,Превосходно!,उत्तम!
Perfect!,Прекрасно!,उत्तम!
Pull it.,Тяни его.,खीचो।
Quit it!,Перестаньте!,इसे छोड़ दें!
See you!,Увидимся!,फिर मिलते हैं!
See you.,Увидимся.,फिर मिलते हैं।
Show me.,Покажи мне!,मुझे दिखाओ।
Show me.,Покажите мне!,मुझे दिखाओ।
Show me.,Покажи.,मुझे दिखाओ।
Show me.,Покажите.,मुझे दिखाओ।
Show me.,Покажи мне.,मुझे दिखाओ।
Show me.,Покажите мне.,मुझे दिखाओ।
Shut up!,Заткнись!,चुप रहो!
Shut up!,Цыц!,चुप रहो!
Shut up!,Заткнитесь!,चुप रहो!
Skip it.,Неважно.,इसे छोड़ दें।
Skip it.,Проехали.,इसे छोड़ दें।
So long.,До встречи.,बहुत लंबा।
Stop it.,Перестань!,इसे रोक।
Stop it.,Прекрати это!,इसे रोक।
Stop it.,Прекратите это!,इसे रोक।
Stop it.,Перестаньте.,इसे रोक।
Take it.,Возьми.,इसे लें।
Tell me.,Скажи мне.,मुझे बताओ।
Tell me.,Скажите мне.,मुझे बताओ।
Tom ate.,Том поел.,टॉम ने खा लिया.
Tom ate.,Том ел.,टॉम ने खा लिया.
Tom ran.,Том бежал.,टॉम भागा.
Tom won.,Том выиграл.,टॉम जीत गया.
Tom won.,Том победил.,टॉम जीत गया.
Wake up!,Просыпайся!,जागो!
Wake up!,Просыпайтесь!,जागो!
Wake up!,Проснись!,जागो!
Wake up!,Проснитесь!,जागो!
Wake up!,Проснись.,जागो!
Wake up.,Просыпайся!,जागो।
Wake up.,Просыпайтесь!,जागो।
Wake up.,Проснись!,जागो।
Wake up.,Проснитесь!,जागो।
Wake up.,Проснись.,जागो।
Wash up.,Умойся.,नहाना।
We care.,Нам не всё равно.,हमें परवाह है।
We know.,Знаем.,हम जानते हैं।
We know.,Знамо дело.,हम जानते हैं।
We know.,Мы знаем.,हम जानते हैं।
We lost.,Мы проиграли.,हमने खो दिया।
Who ate?,Кто поел?,किसने खाया?
Who ran?,Кто бежал?,कौन भागा?
Who won?,Кто выиграл?,कौन जीता?
Who won?,Кто победил?,कौन जीता?
Why not?,Почему нет?,क्यों नहीं?
Why not?,Почему бы и нет?,क्यों नहीं?
You run.,Ты бежишь.,तुम दौड़ो।
You won.,Ты победил.,आप जीते।
You won.,Ты победила.,आप जीते।
You won.,Ты выиграл.,आप जीते।
You won.,Вы выиграли.,आप जीते।
You won.,Вы победили.,आप जीते।
You won.,Ты выиграла.,आप जीते।
Am I fat?,Я толстый?,क्या मैं मोटा हूँ?
Am I fat?,Я толстая?,क्या मैं मोटा हूँ?
Ask them.,Спроси их.,उन्हें पूछना।
Ask them.,Спроси у них.,उन्हें पूछना।
Ask them.,Спросите у них.,उन्हें पूछना।
Ask them.,Попроси их.,उन्हें पूछना।
Ask them.,Попросите их.,उन्हें पूछना।
Back off!,Отстань!,पीछे हटना!
Back off!,Отвали!,पीछे हटना!
Back off.,Посторонитесь.,पीछे हटना।
Back off.,Посторонись.,पीछे हटना।
Back off.,Отойди.,पीछे हटना।
Back off.,Отойдите.,पीछे हटना।
Back off.,Отодвинься.,पीछे हटना।
Back off.,Отодвиньтесь.,पीछे हटना।
Back off.,Отвали.,पीछे हटना।
Back off.,Отвяжись.,पीछे हटना।
Back off.,Отстань.,पीछे हटना।
Be a man.,Будь мужчиной!,एक आदमी बनों।
Be a man.,Будьте мужчиной!,एक आदमी बनों।
Be brave.,Будь храбр.,बहादुर बनो।
Be brave.,Будь храбрым.,बहादुर बनो।
Be brief.,Будь краток.,संक्षिप्त करें।
Be quiet.,Тихо.,चुप रहें।
Be quiet.,Помолчи-ка.,चुप रहें।
Beats me.,Без понятия.,मुझे पता नहीं।
Buzz off.,Проваливай.,चले जाओ।
"Bye, Tom.","Пока, Том.","अलविदा, टॉम।"
Call Tom.,Позвони Тому.,टॉम को बुलाओ.
Call Tom.,Позвоните Тому.,टॉम को बुलाओ.
Call Tom.,Позови Тома.,टॉम को बुलाओ.
Call Tom.,Позовите Тома.,टॉम को बुलाओ.
Cheer up!,Не унывай!,खुश हो जाओ!
Cheer up!,Выше нос!,खुश हो जाओ!
Cheer up.,Взбодрись!,खुश हो जाओ।
Cheer up.,Выше нос!,खुश हो जाओ।
Cool off!,Остынь!,ठंडा करें!
Cuff him.,Надень на него наручники.,उसे जकड़ लो.
Cuff him.,В наручники его.,उसे जकड़ लो.
Don't go.,Не ходи.,मत जाओ.
Don't go.,Не ходите.,मत जाओ.
Don't go.,Не езди.,मत जाओ.
Don't go.,Не ездите.,मत जाओ.
Drive on.,Поехали.,पर चलाना।
Drive on.,Едем дальше.,पर चलाना।
Find Tom.,Найди Тома.,टॉम को खोजें.
Find Tom.,Найдите Тома.,टॉम को खोजें.
Fix this.,Исправь это.,इसे ठीक करो।
Fix this.,Почини это.,इसे ठीक करो।
Fix this.,Почините это.,इसे ठीक करो।
Fix this.,Исправьте это.,इसे ठीक करो।
Get away!,Уходи!,दूर हो जाओ!
Get away!,Отойди!,दूर हो जाओ!
Get away!,Уходи.,दूर हो जाओ!
Get away!,Иди отсюда.,दूर हो जाओ!
Get away!,Вали отсюда.,दूर हो जाओ!
Get down!,Ляг на пол!,नीचे उतरो!
Get down.,Спускайся!,नीचे उतरो।
Get down.,Выходи!,नीचे उतरो।
Get down.,Спускайтесь!,नीचे उतरो।
Get down.,Выходите!,नीचे उतरो।
Get lost!,Убирайся!,भाड़ में जाओ!
Get lost!,Пошёл вон!,भाड़ में जाओ!
Get lost!,Проваливай!,भाड़ में जाओ!
Get lost!,Исчезни.,भाड़ में जाओ!
Get lost!,Свали!,भाड़ में जाओ!
Get lost!,А ну пошёл отсюда!,भाड़ में जाओ!
Get lost!,Сгинь!,भाड़ में जाओ!
Get lost!,А ну пошел отсюда!,भाड़ में जाओ!
Get lost!,Потеряйся!,भाड़ में जाओ!
Get lost!,Пошла прочь!,भाड़ में जाओ!
Get lost!,Пошёл прочь!,भाड़ में जाओ!
Get lost!,"Гуляй, Вася!",भाड़ में जाओ!
Get lost!,Иди ты куда подальше!,भाड़ में जाओ!
Get lost!,Иди прочь!,भाड़ में जाओ!
Get lost.,Исчезни.,भाड़ में जाओ।
Get lost.,Проваливай.,भाड़ में जाओ।
Get lost.,Убирайся.,भाड़ में जाओ।
Get lost.,Вали отсюда.,भाड़ में जाओ।
Get real!,Будь реалистом!,असली लें!
Get real.,Спустись с небес на землю.,असली लें।
Go ahead!,Давай!,आगे बढ़ो!
Go ahead.,Давай!,आगे बढ़ो।
Go on in.,Давай дальше.,अंदर जाओ.
Good job!,Хорошая работа!,अच्छा काम!
Good job!,Хорошо сработано!,अच्छा काम!
Grab Tom.,Схвати Тома.,टॉम को पकड़ो.
Grab him.,Хватай его.,उसे पकड़ो।
Grab him.,Хватайте его.,उसे पकड़ो।
Have fun.,Наслаждайтесь.,मस्ती करो।
Have fun.,Развлекайтесь.,मस्ती करो।
He spoke.,Он говорил.,वह बोला।
He spoke.,Он высказался.,वह बोला।
He tried.,Он пытался.,उसने कोशिश करी।
He tried.,Он попробовал.,उसने कोशिश करी।
He tried.,Он попытался.,उसने कोशिश करी।
He's wet.,Он мокрый.,वह गीला है.
Help Tom.,Помоги Тому.,टॉम की मदद करो.
Help Tom.,Помогите Тому.,टॉम की मदद करो.
"Hi, guys.","Привет, ребята.",हाय दोस्तों।
How cute!,Как мило!,कितना प्यारा!
How deep?,Насколько глубоко?,कितना गहरा?
How rude!,Как грубо!,कैसे अशिष्ट हैं!
Humor me.,Рассмеши меня.,मुझे छोड़ दो।
Humor me.,Просто сделай это ради меня.,मुझे छोड़ दो।
Hurry up.,Поторапливайся!,जल्दी करो।
Hurry up.,Быстрей!,जल्दी करो।
Hurry up.,Скорее!,जल्दी करो।
Hurry up.,Живей!,जल्दी करो।
Hurry up.,Давай быстрей.,जल्दी करो।
I agreed.,Я согласился.,मैं सहमत।
I am old.,Я старый.,मैं बूढ़ा हूँ।
I am old.,Я старая.,मैं बूढ़ा हूँ।
I am old.,Я стар.,मैं बूढ़ा हूँ।
I ate it.,Я её съел.,मैंने उसे खा लिया।
I burped.,Я отрыгнул.,मुझे डकार आई।
I can go.,Я могу пойти.,मैं जा सकता हूं।
I can go.,Я могу поехать.,मैं जा सकता हूं।
I danced.,Я танцевал.,मैनें नृत्य किया।
I danced.,Я танцевала.,मैनें नृत्य किया।
I did it.,Я сделал это.,मैंने यह किया है।
I did it.,Я сделала это.,मैंने यह किया है।
I failed.,У меня не получилось.,में विफल रहा है।
I failed.,У меня не вышло.,में विफल रहा है।
I gasped.,Я задыхался.,मैं हांफने लगा।
I get by.,Я справляюсь.,मै पहुँच गया।
I goofed.,Я опростоволосился.,मैंने मूर्खता की.
I goofed.,Я оплошал.,मैंने मूर्खता की.
I goofed.,Я дал маху.,मैंने मूर्खता की.
I goofed.,Я попал впросак.,मैंने मूर्खता की.
I got it.,Я понял.,मैं समझ गया।
I got it.,Понял.,मैं समझ गया।
I got up.,Я встал.,मैं उठा।
I got up.,Я поднялся.,मैं उठा।
I helped.,Я помог.,मैंने मदद की।
I helped.,Я помогла.,मैंने मदद की।
I jumped.,Я прыгнул.,मैं कूद गया।
I jumped.,Я прыгнула.,मैं कूद गया।
I looked.,Я посмотрел.,मैंने देखा।
I looked.,Я взглянул.,मैंने देखा।
I looked.,Я посмотрела.,मैंने देखा।
I moaned.,Я простонал.,मैं कराह उठा.
I nodded.,Я кивнул.,मेंने सिर हिलाया।
I nodded.,Я кивнула.,मेंने सिर हिलाया।
I obeyed.,Я послушался.,मैंने आज्ञा मानी.
I obeyed.,Я подчинился.,मैंने आज्ञा मानी.
I paused.,Я сделал паузу.,मैं रुक गया.
I paused.,Я сделала паузу.,मैं रुक गया.
I phoned.,Я звонил.,मैने फोन किया।
I phoned.,Я позвонил.,मैने फोन किया।
I prayed.,Я молился.,मैंने प्रार्थना की।
I prayed.,Я молилась.,मैंने प्रार्थना की।
I prayed.,Я помолился.,मैंने प्रार्थना की।
I prayed.,Я помолилась.,मैंने प्रार्थना की।
I refuse.,Я отказываюсь.,मैंने मना कर दिया।
I resign.,Я увольняюсь.,मैंने इस्तीफा दिया।
I saw it.,Я это видел.,मैंने उसे देखा।
I saw it.,Я видела это.,मैंने उसे देखा।
I saw it.,Я его видел.,मैंने उसे देखा।
I saw it.,Я её видел.,मैंने उसे देखा।
I shaved.,Я побрился.,मैने मुंडा।
I sighed.,Я вздыхал.,मैंने आह भरी।
I smiled.,Я улыбнулся.,मैं मुस्कराया।
I smiled.,Я улыбнулась.,मैं मुस्कराया।
I stayed.,Я остался.,मैं रुका रहा।
I stayed.,Я осталась.,मैं रुका रहा।
I talked.,Я разговаривал.,मैंनें बात की।
I talked.,Я разговаривала.,मैंनें बात की।
I use it.,Я использую это.,मैंने इसका उपयोग किया।
I use it.,Я пользуюсь этим.,मैंने इसका उपयोग किया।
I use it.,Я им пользуюсь.,मैंने इसका उपयोग किया।
I use it.,Я ей пользуюсь.,मैंने इसका उपयोग किया।
I use it.,Я его использую.,मैंने इसका उपयोग किया।
I use it.,Я её использую.,मैंने इसका उपयोग किया।
I waited.,Я подождал.,मैंने इंतजार किया।
I waited.,Я подождала.,मैंने इंतजार किया।
I waited.,Я ждал.,मैंने इंतजार किया।
I waited.,Я ждала.,मैंने इंतजार किया।
I winked.,Я подмигнул.,मैंने आँख मार दी.
I winked.,Я подмигнула.,मैंने आँख मार दी.
I yawned.,Я зевнул.,मैंने उबासी ली.
I yawned.,Я зевнула.,मैंने उबासी ली.
I'd wait.,Я бы подождал.,मैं इंतजार करूंगा.
I'll ask.,Я спрошу.,मैं पूछता हूं।
I'll die.,Я умру.,मैं मर जाउंगा।
I'll pay.,Я заплачу.,मैं भुगतान करूंगा।
I'll try.,Я попробую.,मेँ कोशिश करुंगा।
