English,Russian
Really?,Реально?
Try it.,Попробуй.
We try.,Мы пытаемся.
We won.,Мы выиграли.
We won.,Мы победили.
Why me?,Почему я?
Ask Tom.,Спроси у Тома.
Ask Tom.,Спросите у Тома.
Ask Tom.,Попроси Тома.
Ask Tom.,Попросите Тома.
Ask Tom.,Спроси Тома.
Ask Tom.,Спросите Тома.
Awesome!,Отвал башки!
Awesome!,Зашибись.
Be calm.,Спокойно!
Be calm.,Будь спокоен.
Be calm.,Будь спокойна.
Be calm.,Будьте спокойны.
Be fair.,Будь честен!
Be fair.,Будь справедлив.
Be fair.,Будь справедлива.
Be fair.,Будьте справедливы.
Be nice.,Будь милым.
Beat it.,Иди отсюда.
Beat it.,Катись отсюда.
Beat it.,Исчезни.
Beat it.,Проваливай.
Beat it.,Убирайся.
Beat it.,Вали отсюда.
Burn it.,Сожги его.
Burn it.,Сожгите его.
Call me.,Позвони мне.
Call me.,Позвоните мне.
Call me.,Позови меня.
Call me.,Позовите меня.
Call us.,Позови нас.
Call us.,Позвони нам.
Call us.,Позвоните нам.
Call us.,Позовите нас.
Come in.,Зайдите!
Come in.,Входите.
Come in.,Входи!
Come in.,Заходи.
Come in.,Входи.
Come in.,Войди.
Come in.,Заходите.
Come in.,Зайди.
Come in.,Войдите.
Come on!,Пошли!
Come on!,Давай!
Come on!,Да ладно!
Come on.,Пошли!
Come on.,Пойдём!
Come on.,Давай!
Come on.,Давайте!
Drop it!,Бросьте!
Drop it.,Забей.
Fold it.,Согни его.
Fold it.,Согни её.
Fold it.,Согните его.
Fold it.,Согните её.
Fold it.,Сложи его.
Fold it.,Сложите его.
Fold it.,Сложи её.
Fold it.,Сложите её.
Get Tom.,Приведи Тома.
Get out!,Убирайся!
Get out!,Проваливай!
Get out!,Убирайтесь!
Get out!,Проваливайте!
Get out.,Катись отсюда.
Get out.,Вон.
Get out.,Проваливай.
Get out.,Убирайся.
Get out.,Убирайтесь.
Go away!,Уходи!
Go away!,Уходи.
Go away!,Уходите!
Go away!,Уходите.
Go away.,Уходи!
Go away.,Уходи.
Go away.,Иди отсюда.
Go away.,Уходите.
Go away.,Уйди.
Go away.,Уйдите.
Go back.,Иди обратно.
Go back.,Идите обратно.
Go back.,Поезжай обратно.
Go back.,Поезжайте обратно.
Go home.,Идите домой.
Go home.,Иди домой.
Go slow.,Двигайся медленно.
Goodbye!,До свидания!
Goodbye!,Доброго пути.
Hang on.,Держись!
Hang on.,Держитесь!
He came.,Он пришёл.
He quit.,Он уволился.
He runs.,Он бегает.
Help me!,Помогите мне!
Help me!,Помоги мне!
Help me.,Помогите мне.
Help me.,Помоги мне.
Help me.,Помоги-ка мне.
Help us.,Помогите нам!
Help us.,Помоги нам!
Help us.,Помоги нам.
Help us.,Помогите нам.
"Hi, Tom.","Привет, Том."
Hit Tom.,Бей Тома!
Hit Tom.,Ударь Тома!
Hit Tom.,Бейте Тома!
Hold it!,Подожди!
Hold it!,Не двигайся!
Hold it!,Ни с места!
Hold it!,Замри!
Hold on.,Не кладите трубку.
Hug Tom.,Обними Тома.
Hug Tom.,Обнимите Тома.
I agree.,Я согласен.
I agree.,Я согласна.
I bowed.,Я поклонился.
I cried.,Я плакал.
I cried.,Я плакала.
I dozed.,Я вздремнул.
I drove.,Я вёл машину.
I drove.,Я вела машину.
I moved.,Я переехал.
I moved.,Я переехала.
I slept.,Я спал.
I slept.,Я спала.
I snore.,Я храплю.
I stood.,Я стоял.
I swore.,Я выругался.
I swore.,Я поклялся.
I tried.,Я пытался.
I tried.,Я попробовала.
I waved.,Я махнул рукой.
I waved.,Я махнула рукой.
I'll go.,Я пойду.
I'll go.,Я поеду.
I'm Tom.,Я Том.
I'm bad.,Я плохой.
I'm bad.,Я плохая.
I'm fat.,Я толстый.
I'm fat.,Я толстая.
I'm fit.,Я в форме.
I'm hit!,Меня ударили!
I'm hot.,Мне жарко.
I'm ill.,Я болен.
I'm ill.,Я болею.
I'm ill.,Я больна.
I'm mad.,Я сумасшедший.
I'm mad.,Я злюсь.
I'm new.,Я новичок.
I'm new.,Я новенькая.
I'm old.,Я старый.
I'm old.,Я старая.
I'm sad.,Мне грустно.
I'm shy.,Я стесняюсь.
I'm shy.,Я стеснительный.
I'm shy.,Я стеснительная.
I'm shy.,Я застенчивый.
I'm shy.,Я застенчивая.
I'm shy.,Я робкий.
I'm shy.,Я робкая.
I'm shy.,Я стеснителен.
I'm shy.,Я стеснительна.
I'm wet.,Я мокрая.
I'm wet.,Я мокрый.
It's OK.,Всё в порядке.
It's OK.,Всё нормально.
It's me!,Это я.
It's me!,Это я!
It's me.,Это я.
Join us.,Присоединяйся к нам.
Join us.,Присоединяйтесь к нам.
Keep it.,Оставь себе.
Keep it.,Оставьте себе.
Keep it.,Оставь его себе.
Keep it.,Оставьте его себе.
Keep it.,Оставь её себе.
Keep it.,Оставьте её себе.
Kill it.,Убей его.
Kill it.,Убейте его.
Kill it.,Убей её.
Kill it.,Убейте её.
Kiss me.,Поцелуйте меня.
Lock it.,Запри его.
Lock it.,Заприте его.
Lock it.,Запри её.
Lock it.,Заприте её.
Look up.,Посмотрите наверх.
Look up.,Посмотри наверх.
"Me, too.",Я тоже.
"Me, too.",Мне тоже.
"Me, too.",Меня тоже.
Open up.,Открой.
Open up.,Открывай.
Perfect!,Безупречно!
Perfect!,Превосходно!
Perfect!,Прекрасно!
Pull it.,Тяни его.
Quit it!,Перестаньте!
See you!,Увидимся!
See you.,Увидимся.
Show me.,Покажи мне!
Show me.,Покажите мне!
Show me.,Покажи.
Show me.,Покажите.
Show me.,Покажи мне.
Show me.,Покажите мне.
Shut up!,Заткнись!
Shut up!,Цыц!
Shut up!,Заткнитесь!
Skip it.,Неважно.
Skip it.,Проехали.
So long.,До встречи.
Stop it.,Перестань!
Stop it.,Прекрати это!
Stop it.,Прекратите это!
Stop it.,Перестаньте.
Take it.,Возьми.
Tell me.,Скажи мне.
Tell me.,Скажите мне.
Tom ate.,Том поел.
Tom ate.,Том ел.
Tom ran.,Том бежал.
Tom won.,Том выиграл.
Tom won.,Том победил.
Wake up!,Просыпайся!
Wake up!,Просыпайтесь!
Wake up!,Проснись!
Wake up!,Проснитесь!
Wake up!,Проснись.
Wake up.,Просыпайся!
Wake up.,Просыпайтесь!
Wake up.,Проснись!
Wake up.,Проснитесь!
Wake up.,Проснись.
Wash up.,Умойся.
We care.,Нам не всё равно.
We know.,Знаем.
We know.,Знамо дело.
We know.,Мы знаем.
We lost.,Мы проиграли.
Who ate?,Кто поел?
Who ran?,Кто бежал?
Who won?,Кто выиграл?
Who won?,Кто победил?
Why not?,Почему нет?
Why not?,Почему бы и нет?
You run.,Ты бежишь.
You won.,Ты победил.
You won.,Ты победила.
You won.,Ты выиграл.
You won.,Вы выиграли.
You won.,Вы победили.
You won.,Ты выиграла.
Am I fat?,Я толстый?
Am I fat?,Я толстая?
Ask them.,Спроси их.
Ask them.,Спроси у них.
Ask them.,Спросите у них.
Ask them.,Попроси их.
Ask them.,Попросите их.
Back off!,Отстань!
Back off!,Отвали!
Back off.,Посторонитесь.
Back off.,Посторонись.
Back off.,Отойди.
Back off.,Отойдите.
Back off.,Отодвинься.
Back off.,Отодвиньтесь.
Back off.,Отвали.
Back off.,Отвяжись.
Back off.,Отстань.
Be a man.,Будь мужчиной!
Be a man.,Будьте мужчиной!
Be brave.,Будь храбр.
Be brave.,Будь храбрым.
Be brief.,Будь краток.
Be quiet.,Тихо.
Be quiet.,Помолчи-ка.
Beats me.,Без понятия.
Buzz off.,Проваливай.
"Bye, Tom.","Пока, Том."
Call Tom.,Позвони Тому.
Call Tom.,Позвоните Тому.
Call Tom.,Позови Тома.
Call Tom.,Позовите Тома.
Cheer up!,Не унывай!
Cheer up!,Выше нос!
Cheer up.,Взбодрись!
Cheer up.,Выше нос!
Cool off!,Остынь!
Cuff him.,Надень на него наручники.
Cuff him.,В наручники его.
Don't go.,Не ходи.
Don't go.,Не ходите.
Don't go.,Не езди.
Don't go.,Не ездите.
Drive on.,Поехали.
Drive on.,Едем дальше.
Find Tom.,Найди Тома.
Find Tom.,Найдите Тома.
Fix this.,Исправь это.
Fix this.,Почини это.
Fix this.,Почините это.
Fix this.,Исправьте это.
Get away!,Уходи!
Get away!,Отойди!
Get away!,Уходи.
Get away!,Иди отсюда.
Get away!,Вали отсюда.
Get down!,Ляг на пол!
Get down.,Спускайся!
Get down.,Выходи!
Get down.,Спускайтесь!
Get down.,Выходите!
Get lost!,Убирайся!
Get lost!,Пошёл вон!
Get lost!,Проваливай!
Get lost!,Исчезни.
Get lost!,Свали!
Get lost!,А ну пошёл отсюда!
Get lost!,Сгинь!
Get lost!,А ну пошел отсюда!
Get lost!,Потеряйся!
Get lost!,Пошла прочь!
Get lost!,Пошёл прочь!
Get lost!,"Гуляй, Вася!"
Get lost!,Иди ты куда подальше!
Get lost!,Иди прочь!
Get lost.,Исчезни.
Get lost.,Проваливай.
Get lost.,Убирайся.
Get lost.,Вали отсюда.
Get real!,Будь реалистом!
Get real.,Спустись с небес на землю.
Go ahead!,Давай!
Go ahead.,Давай!
Go on in.,Давай дальше.
Good job!,Хорошая работа!
Good job!,Хорошо сработано!
Grab Tom.,Схвати Тома.
Grab him.,Хватай его.
Grab him.,Хватайте его.
Have fun.,Наслаждайтесь.
Have fun.,Развлекайтесь.
He spoke.,Он говорил.
He spoke.,Он высказался.
He tried.,Он пытался.
He tried.,Он попробовал.
He tried.,Он попытался.
He's wet.,Он мокрый.
Help Tom.,Помоги Тому.
Help Tom.,Помогите Тому.
"Hi, guys.","Привет, ребята."
How cute!,Как мило!
How deep?,Насколько глубоко?
How rude!,Как грубо!
Humor me.,Рассмеши меня.
Humor me.,Просто сделай это ради меня.
Hurry up.,Поторапливайся!
Hurry up.,Быстрей!
Hurry up.,Скорее!
Hurry up.,Живей!
Hurry up.,Давай быстрей.
I agreed.,Я согласился.
I am old.,Я старый.
I am old.,Я старая.
I am old.,Я стар.
I ate it.,Я её съел.
I burped.,Я отрыгнул.
I can go.,Я могу пойти.
I can go.,Я могу поехать.
I danced.,Я танцевал.
I danced.,Я танцевала.
I did it.,Я сделал это.
I did it.,Я сделала это.
I failed.,У меня не получилось.
I failed.,У меня не вышло.
I gasped.,Я задыхался.
I get by.,Я справляюсь.
I goofed.,Я опростоволосился.
I goofed.,Я оплошал.
I goofed.,Я дал маху.
I goofed.,Я попал впросак.
I got it.,Я понял.
I got it.,Понял.
I got up.,Я встал.
I got up.,Я поднялся.
I helped.,Я помог.
I helped.,Я помогла.
I jumped.,Я прыгнул.
I jumped.,Я прыгнула.
I looked.,Я посмотрел.
I looked.,Я взглянул.
I looked.,Я посмотрела.
I moaned.,Я простонал.
I nodded.,Я кивнул.
I nodded.,Я кивнула.
I obeyed.,Я послушался.
I obeyed.,Я подчинился.
I paused.,Я сделал паузу.
I paused.,Я сделала паузу.
I phoned.,Я звонил.
I phoned.,Я позвонил.
I prayed.,Я молился.
I prayed.,Я молилась.
I prayed.,Я помолился.
I prayed.,Я помолилась.
I refuse.,Я отказываюсь.
I resign.,Я увольняюсь.
I saw it.,Я это видел.
I saw it.,Я видела это.
I saw it.,Я его видел.
I saw it.,Я её видел.
I shaved.,Я побрился.
I sighed.,Я вздыхал.
I smiled.,Я улыбнулся.
I smiled.,Я улыбнулась.
I stayed.,Я остался.
I stayed.,Я осталась.
I talked.,Я разговаривал.
I talked.,Я разговаривала.
I use it.,Я использую это.
I use it.,Я пользуюсь этим.
I use it.,Я им пользуюсь.
I use it.,Я ей пользуюсь.
I use it.,Я его использую.
I use it.,Я её использую.
I waited.,Я подождал.
I waited.,Я подождала.
I waited.,Я ждал.
I waited.,Я ждала.
I winked.,Я подмигнул.
I winked.,Я подмигнула.
I yawned.,Я зевнул.
I yawned.,Я зевнула.
I'd wait.,Я бы подождал.
I'll ask.,Я спрошу.
I'll die.,Я умру.
I'll pay.,Я заплачу.
I'll try.,Я попробую.
I'll try.,Я попытаюсь.
I'll try.,Попытаюсь.
I'll win.,Я выиграю.
I'm a DJ.,Я диджей.
I'm back.,Я вернулся.
I'm back.,Это опять я.
I'm back.,Я вернулась.
I'm bald.,Я лысый.
I'm bald.,Я лысая.
I'm busy.,Я занят.
I'm busy.,Я занята.
I'm calm.,Я спокойна.
I'm cold.,Мне холодно.
I'm cold.,Я замёрз.
I'm cold.,Я замёрзла.
I'm cool.,Я классный.
I'm cool.,Я классная.
I'm cool.,Я крут.
I'm cool.,Я клёвая.
I'm deaf.,Я глухой.
I'm deaf.,Я глухая.
I'm done.,Я закончил.
I'm easy.,Меня не волнует.
I'm fair.,Я честный.
I'm fast.,Я быстрый.
I'm fast.,Я быстрая.
I'm fine.,Со мной всё в порядке.
I'm fine.,Я в порядке.
I'm free!,Я свободна!
I'm free!,Я свободен!
I'm free.,Я свободна.
I'm full.,Я наелся.
I'm full.,Я сыт.
I'm full.,Я сыта.
I'm full.,Я наелась.
I'm glad.,Я рад.
I'm glad.,Я рада.
I'm good.,Я хороший.
I'm good.,Я хорошая.
I'm here.,Я здесь.
I'm here.,Я тут.
I'm high.,Я под кайфом.
I'm home.,Я дома.
I'm hurt.,Я травмирован.
I'm hurt.,Я травмирована.
I'm last.,Я последний.
I'm last.,Я последняя.
I'm late.,Я опоздал.
I'm late.,Я опоздала.
I'm late.,Я опаздываю.
I'm lazy.,Я ленивый.
I'm lazy.,Я лентяй.
I'm lazy.,Я ленивая.
I'm lost.,Я заблудился.
I'm lost.,Я потерялся.
I'm lost.,Я заблудилась.
I'm lost.,Я потерялась.
I'm mean.,Я подлый.
I'm mean.,Я вредный.
I'm mean.,Я зловредный.
I'm mean.,Я злой.
I'm mean.,Я злая.
I'm neat.,Я аккуратный.
I'm neat.,Я аккуратная.
I'm next.,Я следующий.
I'm numb.,Я немой.
I'm numb.,Я немая.
I'm okay.,У меня всё хорошо.
I'm okay.,Я в порядке.
I'm okay.,У меня всё в порядке.
I'm poor.,Я бедная.
I'm poor.,Я бедный.
I'm rich.,Я богат.
I'm rich.,Я богата.
I'm rich.,Я богатая.
I'm rich.,Я богатый.
I'm safe.,Я в безопасности.
I'm sick.,Я болен.
I'm sick.,Я болею.
I'm sick.,Я больна.
I'm slow.,Я медлительный.
I'm slow.,Я медленный.
I'm slow.,Я медленная.
I'm slow.,Я медлительная.
I'm sure.,Я уверена.
I'm sure.,Я убеждён.
I'm tall.,Я высокий.
I'm tall.,Я высокая.
I'm thin.,Я худой.
I'm tidy.,Я опрятный.
I'm tidy.,Я опрятная.
I'm ugly.,Я уродина.
I'm ugly.,Я некрасивая.
I'm ugly.,Я некрасивый.
I'm ugly.,Я безобразен.
I'm ugly.,Я безобразна.
I'm warm.,Мне тепло.
I'm weak.,Я слаб.
I'm weak.,Я слаба.
I'm weak.,Я слабый.
I'm weak.,Я слабая.
I'm well.,Со мной всё хорошо.
I'm wise.,Я умный.
I've won.,Я выиграл.
I've won.,Я победил.
It helps.,Это помогает.
It hurts.,Больно.
It works.,Это работает.
It works.,Работает.
It's Tom.,Это Том.
It's fun.,Это забавно.
It's his.,Это его.
It's hot.,Жарко.
It's hot.,Она горячая.
It's hot.,Он горячий.
It's hot.,Оно горячее.
It's new.,Это новая.
It's new.,Он новый.
It's new.,Она новая.
It's new.,Оно новое.
It's new.,Этот новый.
It's odd.,Это странно.
It's old.,Она старая.
It's old.,Оно старое.
It's red.,Он красный.
It's red.,Она красная.
It's red.,Оно красное.
It's sad.,Это грустно.
Keep out.,Не входить.
Keep out.,Вход запрещён.
Kill Tom.,Убей Тома.
Kill Tom.,Убейте Тома.
Kiss Tom.,Поцелуй Тома.
Kiss Tom.,Поцелуйте Тома.
Leave it.,Оставь это.
Leave it.,Оставьте это.
Leave it.,Бросьте.
Leave me.,Оставь меня!
Leave me.,Оставь меня.
Leave me.,Оставьте меня.
Leave me.,Пусти меня.
Leave us.,Оставь нас!
Leave us.,Оставьте нас!
Let's go!,Пошли!
Let's go!,Пойдём!
Let's go!,Поехали!
Let's go!,Идём.
Let's go.,Поехали.
Let's go.,Пойдем.
Let's go.,Пойдёмте.
Let's go.,Идём.
Look out!,Берегись!
Marry me.,Выходи за меня замуж.
Marry me.,Женись на мне.
Marry me.,Выходи за меня.
Marry me.,Выходите за меня.
Marry me.,Выходите за меня замуж.
Marry me.,Женитесь на мне.
May I go?,Мне можно идти?
May I go?,Я могу идти?
Run away.,Убегай.
Save Tom.,Спаси Тома.
Save Tom.,Спасите Тома.
She came.,Она пришла.
She died.,Она умерла.
She lied.,Она солгала.
She runs.,Она бегает.
Sit down!,Сядь!
Sit down!,Садитесь!
Sit down!,Сядьте.
Sit down.,Сядь!
Sit down.,Садитесь!
Sit down.,Садись.
Sit down.,Сядь.
Sit down.,Сядьте.
Sit here.,Сядь здесь.
Sit here.,Садись сюда.
Sit here.,Садитесь сюда.
Sit here.,Сядьте здесь.
Sit here.,Садитесь здесь.
Speak up!,Выкладывай.
Stand by.,Оставайтесь с нами.
Stand by.,Будь наготове.
Stand by.,Не переключайтесь.
Stand up!,Вставай!
Stand up!,Вставайте!
Stand up!,Встань.
Stand up!,Встаньте.
Stand up!,Поднимайся!
Stand up!,Поднимайтесь!
Stand up!,Встань!
Stand up!,Встаньте!
Stand up.,Встань.
Stand up.,Встаньте.
Stay put.,Оставайся на месте.
Stop Tom.,Остановите Тома.
Stop Tom.,Останови Тома.
Take Tom.,Возьми Тома.
Taste it.,Попробуйте её.
Taste it.,Попробуйте его.
Taste it.,Попробуй её.
Taste it.,Попробуй его.
Tell Tom.,Скажи Тому.
Tell Tom.,Скажите Тому.
Tell Tom.,Расскажи Тому.
Tell Tom.,Расскажите Тому.
Terrific!,Гениально.
Terrific!,Супер!
Terrific!,Отвал башки!
Terrific!,Зашибись.
They won.,Они победили.
They won.,Они выиграли.
Tom came.,Том пришёл.
Tom came.,Пришёл Том.
Tom died.,Том умер.
Tom fell.,Том упал.
Tom knew.,Том знал.
Tom left.,Том ушёл.
Tom left.,Том уехал.
Tom lied.,Том солгал.
Tom lied.,Том соврал.
Tom lies.,Том лжет.
Tom lies.,Том врёт.
Tom lost.,Том проиграл.
Tom paid.,Том заплатил.
Tom quit.,Том уволился.
Tom sang.,Том спел.
Tom swam.,Том плавал.
Tom went.,Том пошёл.
Tom went.,Том поехал.
Tom wept.,Том плакал.
Too late.,Слишком поздно.
Touch it.,Потрогай его.
Touch it.,Потрогайте его.
Touch it.,Прикоснись к нему.
Touch it.,Прикоснитесь к нему.
Touch it.,Потрогай её.
Touch it.,Потрогайте её.
Touch it.,Прикоснитесь к ней.
Touch it.,Прикоснись к ней.
Trust me.,Верь мне.
Try hard.,Постарайся как следует.
Try some.,Попробуй.
Try this.,Попробуй это.
Try this.,Попробуйте это.
Try this.,Попробуй вот это.
Use this.,Воспользуйся этим.
Warn Tom.,Предупреди Тома.
Warn Tom.,Предупредите Тома.
We agree.,Мы согласны.
We tried.,Мы попробовали.
We tried.,Мы попытались.
We'll go.,Мы пойдём.
We'll go.,Мы идём.
We'll go.,Мы поедем.
We're OK.,Мы в порядке.
What for?,Для чего?
What for?,Почему?
What for?,Зачем?
What fun!,Как весело!
Who came?,Кто пришёл?
Who died?,Кто умер?
Who fell?,Кто упал?
Who lost?,Кто проиграл?
Who paid?,Кто заплатил?
Who quit?,Кто вышел?
Who quit?,Кто уволился?
Who swam?,Кто плавал?
Write me.,Напиши мне!
Write me.,Напишите мне!
Write me.,Пиши мне.
Write me.,Пишите мне.
You lost.,Вы проиграли.
You lost.,Ты проиграл.
You lost.,Ты проиграла.
After you.,После вас.
After you.,Только после Вас.
After you.,Сначала ты.
Aim. Fire!,Целься. Пли!
Aim. Fire!,Целься. Огонь!
Am I dead?,Я умер?
Am I late?,Я опоздал?
Am I late?,Я опоздала?
Answer me.,Ответь мне.
Answer me.,Ответьте мне.
Answer me.,Отвечайте мне.
Answer me.,Отвечай мне.
Be honest.,Будь честен.
Be honest.,Будьте честны.
Birds fly.,Птицы летают.
Bless you.,Будь здоров!
Call home!,Позвони домой.
Call home!,Позвоните домой.
Calm down!,Успокойся!
Calm down!,Успокойтесь!
Calm down.,Успокойтесь.
Can I eat?,Я могу есть?
Can I eat?,Я могу поесть?
Can we go?,Мы можем идти?
Catch Tom.,Поймай Тома.
Catch Tom.,Ловите Тома.
Catch Tom.,Лови Тома.
Catch Tom.,Поймайте Тома.
Catch him.,Лови его.
Catch him.,Хватай его.
Catch him.,Ловите его.
Chill out.,Остынь.
Choose me.,Выбери меня.
Clear out.,Освободите помещение!
Come back.,Вернись!
Come back.,Вернитесь!
Come back.,Возвращайся!
Come back.,Возвращайтесь!
Come back.,Вернись.
Come here.,Иди сюда!
Come here.,Иди сюда.
Come here.,Идите сюда.
Come home.,Возвращайся домой.
Come home.,Приходи домой.
Come over!,Подойдите!
Come over!,Идите ко мне!
Come over.,Идите ко мне!
Come over.,Приезжай.
Come over.,Приезжайте.
Come soon.,Приходите скорее!
Come soon.,Приходи скорей!
Cool down.,Остынь.
Cool down.,Остыньте.
Did I win?,Я выиграл?
Did I win?,Я победил?
Do it now.,Сделайте это сейчас.
Dogs bark.,Собаки лают.
Dogs bark.,Псы лают.
Don't ask.,Не спрашивай.
Don't ask.,Не спрашивайте.
Don't cry.,Не плачь.
Don't cry.,Не плачьте.
Don't cry.,Не реви.
Don't cry.,Не плачь!
Don't die.,Не умирай.
Don't die.,Не умирайте!
Don't lie.,Не лги.
Don't lie.,Не ври.
Don't lie.,Не врите.
Don't lie.,Не лгите.
Don't run.,Не беги.
Don't run.,Не бегите.
Excuse me.,Извините.
Excuse me?,"Что, простите?"
Excuse me?,Прошу прощения?
Excuse me?,Что Вы сказали?
Fantastic!,Фантастика!
Follow me.,Следуйте за мной.
Follow me.,Иди за мной.
Follow me.,Следуй за мной.
Follow me.,Идите за мной.
Follow me.,За мной.
Follow us.,Иди за нами.
Follow us.,Следуй за нами.
Follow us.,Идите за нами.
Follow us.,Следуйте за нами.
Follow us.,Поезжай за нами.
Follow us.,Поезжайте за нами.
Forget it!,Забудьте!
Forget it!,Забудь об этом!
Forget it!,Забудь!
Forget it!,Забудьте об этом!
Forget it.,Попустись.
Forget it.,Забудь!
Forget me.,Забудь меня.
Forget me.,Забудьте меня.
Get a job.,Найди работу.
Get a job.,Найдите работу!
Get ready.,Приготовься.
Get ready.,Готовьтесь.
Get ready.,Приготовьтесь.
Get ready.,Готовься.
Go get it.,Сходи за ним.
Go get it.,Сходи за ней.
Go get it.,Сходите за ним.
Go get it.,Сходите за ней.
Go inside.,Входите.
Go inside.,Иди внутрь.
Go inside.,Идите внутрь.
Go inside.,Входи.
Go slower.,Иди помедленней.
Go slower.,Идите помедленней.
Go to bed.,Иди спать.
Go to bed.,Марш в постель!
Go to bed.,Ложись спать.
Go to bed.,Идите спать.
Go to bed.,Иди в кровать.
Go to bed.,Идите в кровать.
Go to bed.,Ложитесь спать.
Goodnight.,Спокойной ночи.
Grab that.,Лови!
Grab that.,Лови это.
Grab that.,Ловите!
Grab that.,Ловите это.
Grab this.,Лови!
Grab this.,Лови это.
Grab this.,Ловите!
Grab this.,Ловите это.
Hands off.,Руки прочь.
Hands off.,Руки убрал!
Have some.,Возьмите немного.
He is ill.,Он болен.
He is ill.,Он болеет.
He shaved.,Он побрился.
He smiled.,Он улыбнулся.
He's a DJ.,Он диджей.
He's busy.,Он занят.
He's good.,Он хороший.
He's lazy.,Он ленивый.
He's mine.,Он мой.
He's rich.,Он богатый.
He's rich.,Он богат.
Here I am.,А вот и я.
Here's $5.,Вот пять долларов.
Hold fire.,Прекратите огонь!
Hold this.,Подержи это.
Hold this.,Подержите это.
How awful!,Какой ужас!
How awful!,Это ужасно!
How funny!,Как забавно!
How weird!,Как странно!
How's Tom?,Как Том?
How's Tom?,Как Том поживает?
How's Tom?,Как там Том?
I am Thai.,Я таец.
I am Thai.,Я тайка.
I am cold.,Мне холодно.
I am cold.,Я замёрз.
I am cold.,Я замёрзла.
I am full.,Я наелся.
