English,Russian,Hindi
Is Tom free now?,Том теперь свободен?,क्या टॉम अब आज़ाद है?
Tom is thirteen.,Тому тринадцать.,टॉम तेरह वर्ष का है।
I am diabetic.,Я диабетик.,मैं मधुमेह का रोगी हूं.
What's Tom done?,Что Том сделал?,टॉम ने क्या किया?
Never forget it.,Никогда не забывай этого.,कभी नहीं भूलना।
I'm over you.,Я над вами.,मैं आप से दुखी हूँ।
They'll starve.,Они будут голодать.,वे भूखे मर जायेंगे.
Too late.,Слишком поздно.,बहुत देर हो गई।
Don't start yet.,Пока не начинайте.,अभी शुरू मत करो.
He wants to go.,Он хочет пойти.,वह जाना चाहता है।
Tom cooks.,Том готовит.,टॉम खाना बनाता है.
It's green.,Это зеленый.,यह हरा है।
You're useless.,Ты бесполезен.,तुम बेकार हो.
I have pneumonia.,У меня пневмония.,मुझे निमोनिया है.
What went wrong?,Что пошло не так?,क्या गलत हो गया?
Be careful!,Будь осторожен!,ध्यान से!
Tom believed me.,Том поверил мне.,टॉम ने मुझ पर विश्वास किया।
They'll know.,Они узнают.,उन्हें पता चल जाएगा.
I stayed seated.,Я остался сидеть.,मैं बैठा रहा.
What's the time?,Какое время?,समय क्या हुआ है?
My eyes watered.,Мои глаза наполнились слезами.,मेरी आँखों में पानी आ गया.
Tom is shaving.,Том бреется.,टॉम शेविंग कर रहा है.
Come quickly.,Иди скорей.,जल्दी आओ।
Wake him up.,Разбуди его.,उसे सतर्क करें।
Show it to them.,Покажите им это.,उन्हें दिखाओ.
I'll go to Tom.,Я пойду к Тому.,मैं टॉम के पास जाऊंगा.
I raise cattle.,Я выращиваю крупный рогатый скот.,मैं मवेशी पालता हूं.
Did you break it?,Ты сломал его?,क्या तुमने इसे तोड़ दिया?
Tom is tolerant.,Том терпим.,टॉम सहनशील है.
I'm a teenager.,Я подросток.,मैं किशोर हूं.
I want to learn.,Я хочу учиться.,मैं सीखना चाहता हूँ।
I got bored.,Мне стало скучно.,मैं ऊब गया।
I was studying.,Я учился.,में पढ़ रहा था।
I like elephants.,Мне нравятся слоны.,मुझे हाथी पसंद हैं.
Let me go!,Отпусти меня!,मुझे जाने दो!
I want these.,Я хочу эти.,मुझे ये चाहिए।
I'll leave now.,Я оставлю сейчас.,अब मैं चलता हूँ।
Tom got lucky.,Тому повезло.,टॉम भाग्यशाली निकला।
Everybody's here.,Все здесь.,हर कोई यहाँ है.
Tom had a cat.,У Тома был кот.,टॉम के पास एक बिल्ली थी।
Here he comes.,А вот и он.,वह आ गया है।
Tom hates cats.,Том ненавидит кошек.,टॉम को बिल्लियों से नफरत है।
Is he that good?,Он настолько хорош?,क्या वह इतना अच्छा है?
I don't see Tom.,Я не вижу Тома.,मैं टॉम को नहीं देख पा रहा हूँ।
Tom has dogs.,У Тома есть собаки.,टॉम के पास कुत्ते हैं।
Tom is a doctor.,Том — врач.,टॉम एक डॉक्टर है.
He learns fast.,Он учится быстро.,वह तेजी से सीखता है.
Summer has come.,Лето пришло.,गर्मी आ गई है.
Tom knew this.,Том знал это.,टॉम यह जानता था।
Can you find it?,Сможете ли вы найти это?,क्या आप इसे ढूंढ सकते हैं?
Can I do this?,Я могу сделать это?,क्या मैं यह कर सकता हूँ?
Tom was like me.,Том был похож на меня.,टॉम मेरे जैसा था.
I can't use this.,Я не могу это использовать.,मैं इसका उपयोग नहीं कर सकता.
Men should work.,Мужчины должны работать.,पुरुषों को काम करना चाहिए.
Tom overslept.,Том проспал.,टॉम सो गया।
I like jogging.,Мне нравится бег трусцой.,मुझे जॉगिंग करना पसंद है.
We need heroes.,Нам нужны герои.,हमें नायकों की जरूरत है.
I was serious.,Я был серьезен.,मैं गंभीर था.
I didn't laugh.,Я не смеялся.,मैं हँसा नहीं.
This seems fair.,Это кажется справедливым.,यह उचित प्रतीत होता है.
Don't let it go.,Не позволяй этому уйти.,इसे जाने मत दो.
Who got married?,Кто женился?,जिसनें शादी करी?
Shut your eyes.,Закрой свои глаза.,अपनी आंखे बंद करो।
Get me a lawyer.,Наймите мне адвоката.,मुझे एक वकील दिलाओ.
I need my pills.,Мне нужны мои таблетки.,मुझे अपनी गोलियाँ चाहिए.
You scare me.,Ты меня пугаешь.,मुझे आपसे डर लगता है।
He's strong.,Он сильный.,वह मजबूत है.
You're lucky.,Ты счастливчик.,तुम भाग्यशाली हो।
Tom's not fat.,Том не толстый.,टॉम मोटा नहीं है.
I followed him.,Я последовал за ним.,मैंने उसका पीछा किया.
That's right.,Это верно.,यह सही है।
Who died?,Который умер?,कौन मरा?
I'm ticklish.,Мне щекотно.,मुझे गुदगुदी होती है.
I tried hard.,Я очень старалась.,मैंने बहुत कोशिश की.
Who did Tom hit?,Кого Том ударил?,टॉम ने किसे मारा?
They're strong.,Они сильные.,वे मजबूत हैं.
I was in Boston.,Я был в Бостоне.,मैं बोस्टन में था.
What a treasure!,Какое сокровище!,क्या ख़ज़ाना है!
I got very mad.,Я очень разозлился.,मैं बहुत क्रोधित हो गया.
They went there.,Они пошли туда.,वे वहां गये.
I love that book.,Я люблю эту книгу.,मुझे वह किताब बहुत पसंद है.
No one told Tom.,Тому никто не сказал.,टॉम को किसी ने नहीं बताया।
I have to sleep.,Мне нужно спать.,मुझे सोना।
Call for help.,Звать на помощь.,मदद के लिए पुकारें।
It's all over.,Все кончено.,सब खत्म हो चुका है।
Use your brain.,Используй свой мозг.,अपने दिमाग का उपयोग करो।
I'm fast.,Я быстрый.,मैं तेज हूं।
Tom lost again.,Том снова проиграл.,टॉम फिर हार गया.
Are you retired?,Вы на пенсии?,क्या तुम सेवानिवृत हो?
I feel old.,Я чувствую себя старым.,मैं बूढ़ा महसूस कर रहा हूं।
Tom likes him.,Тому он нравится.,टॉम उसे पसंद करता है.
Be discreet.,Будьте осторожны.,विवेकशील रहें.
I'm really rich.,Я действительно богат.,मैं सचमुच अमीर हूं.
You scared me.,Ты меня напугал.,आपने मुझे डरा दिया।
Shake my hand.,Пожми мне руку.,मुझ से हाथ मिलाएं।
That's bad news.,Это плохие новости.,यह बुरी खबर है.
I'm your father.,Я твой отец.,मैं तुम्हारा पिता हूं।
I'm a monk.,Я монах.,मैं एक साधु हूँ.
Just get back.,Просто вернись.,बस वापस आ जाओ.
I did my part.,Я сделал свою часть.,मैंने अपना काम किया.
I'm tolerant.,Я толерантен.,मैं सहनशील हूं.
"I need you, Tom.","Ты мне нужен, Том.","मुझे तुम्हारी ज़रूरत है, टॉम।"
Stop that noise.,Прекрати этот шум.,वह शोर बंद करो.
I wear glasses.,Я ношу очки.,मैं चश्मा पहनने।
Count me out.,"Считайте, что я не учавствую.",मुझे गिनती से बाहर करना।
Tom fought.,Том дрался.,टॉम लड़े.
They were mine.,Они были моими.,वे मेरे थे.
I like cartoons.,Мне нравятся мультфильмы.,मुझे कार्टून पसंद हैं.
It's awful.,Это ужасно.,यह बहुत बुरा है।
I gave Tom $300.,Я дал Тому 300 долларов.,मैंने टॉम को 300 डॉलर दिये।
"Bye, Tom.","Пока, Том.","अलविदा, टॉम।"
I'm no quitter.,Я не сдаюсь.,मैं छोड़ने वाला नहीं हूं.
I can't cook.,Я не умею готовить.,मैं खाना नहीं बना सकता.
Tom grumbled.,Том проворчал.,टॉम बड़बड़ाया।
I'm waiting.,Я жду.,मैं इंतज़ार कर रहा हूँ.
Nobody likes me.,Никто меня не любит.,कोई भी मुझे पसंद नही करती है।
Wait one second.,Подождите одну секунду.,एक क्षण रुको।
Tom's finished.,Том закончил.,टॉम ख़त्म हो गया.
I can do this.,Я могу сделать это.,मैं यह कर सकता है।
Help Tom.,Помогите Тому.,टॉम की मदद करो.
No means no.,Нет значит нет.,नहीं मतलब नहीं।
Tom is the boss.,Том — босс.,टॉम बॉस है.
I don't like her.,Она мне не нравится.,मुझे वह पसंद नहीं है.
It's business.,Это бизнес.,यह व्यवसाय है.
This is a harp.,Это арфа.,यह एक वीणा है.
Tom is a guard.,Том — охранник.,टॉम एक गार्ड है.
Tom's strange.,Том странный.,टॉम अजीब है.
That's too much.,Это слишком много.,कि बहुत ज्यादा है।
Just be quiet.,Просто быть спокойным.,बस चुप रहो।
Tom cheats.,Том обманывает.,टॉम धोखा देता है.
I hate tomatoes.,Я ненавижу помидоры.,मुझे टमाटर से नफरत है.
I don't recall.,Я не помню.,मुझे याद नहीं.
That's my wife.,Это моя жена.,यह मेरी पत्नी है।
I grew up here.,Я вырос здесь.,मैं यहीं बड़ा हुआ हूं.
I got dizzy.,У меня закружилась голова.,मुझे चक्कर आ गया.
"Take it, please.","Возьмите его, пожалуйста.",कृपया इसे ले लो.
I love trips.,Я люблю поездки.,मुझे यात्राएं पसंद हैं.
This is a joke.,Это шутка.,यह एक मजाक है।
Tom is like me.,Том похож на меня.,टॉम मेरे जैसा है.
Run.,Бегать.,दौड़ना।
What'll be next?,Что будет дальше?,आगे क्या होगा?
Is that you?,Это ты?,क्या वह तुम हो?
I let you down.,Я подвел тебя.,मैं तुम्हें निराश।
Tom will speak.,Том будет говорить.,टॉम बोलेंगे.
I work at a bar.,Я работаю в баре.,मैं एक बार में काम करता हूं.
Tom had a beer.,Том выпил пива.,टॉम ने बीयर पी थी।
Winter is back.,Зима вернулась.,सर्दी वापस आ गई है.
I can't budge it.,Я не могу сдвинуться с места.,मैं इसे हिला नहीं सकता.
Come on inside.,Заходите внутрь.,चलो अंदर.
Tom is grim.,Том мрачен.,टॉम गंभीर है.
I'm a grown-up.,Я взрослый.,मैं बड़ा हो गया हूं.
I finished first.,Я закончил первым.,मैंने प्रथम स्थान प्राप्त किया।
Do you agree?,Вы согласны?,क्या आप सहमत हैं?
We're OK.,Мы в порядке.,हम ठीक हैं.
Tom has to work.,Тому нужно работать.,टॉम को काम करना है.
It's okay.,Все нормально.,कोई बात नहीं।
I read books.,Я читаю книги.,मैं किताबें पढ़ता हुँ।
I can't sleep.,Я не могу спать.,मुझे नींद नहीं आ रही.
We were engaged.,Мы были помолвлены.,हमारी सगाई हो चुकी थी.
Tom's afraid.,Том боится.,टॉम डर गया.
Tom is a punk.,Том — панк.,टॉम एक गुंडा है.
Tom isn't lost.,Том не потерян.,टॉम खोया नहीं है.
Don't be rude.,Не грубите.,असभ्य मत बनो.
I let Tom win.,Я позволил Тому победить.,मैंने टॉम को जीतने दिया।
I am truly sorry.,Мне искренне жаль.,मैं सचमुच क्षमा चाहता हूं।
No one's upset.,Никто не расстроен.,कोई भी परेशान नहीं है.
Listen to this.,Послушай это.,इस बात सुनो।
He's a bit shy.,Он немного застенчив.,वह थोड़ा शर्मीला है.
Did Tom do this?,Том сделал это?,क्या टॉम ने ऐसा किया?
It was strange.,Это было странно.,वह अजीब था।
Tom knew a lot.,Том много знал.,टॉम बहुत कुछ जानता था।
"Brr, it's cold.","Брр, холодно.","ब्र्र, ठंड है."
We want freedom.,Мы хотим свободы.,हम आज़ादी चाहते हैं.
I'll show you.,Я покажу тебе.,मैं आपको दिखाता हूँ।
Go without me.,Иди без меня.,मेरे बिना जाओ.
I misunderstood.,Я неправильно понял.,मैं गलत समझा।
Tom was a miner.,Том был шахтером.,टॉम एक खनिक था.
I like that lamp.,Мне нравится эта лампа.,मुझे वह लैंप पसंद है.
We're lawyers.,Мы юристы.,हम वकील हैं.
Did you phone me?,Ты мне звонил?,क्या तुमने मुझे फोन किया?
Is that true?,Это правда?,क्या वह सच है?
I went by boat.,Я поехал на лодке.,मैं नाव से गया.
We have to stay.,Мы должны остаться.,हमें रहना होगा.
Tom is voting.,Том голосует.,टॉम मतदान कर रहा है.
Can I tag along?,Могу ли я присоединиться к вам?,क्या मैं साथ टैग कर सकता हूँ?
Tom is an actor.,Том — актер.,टॉम एक अभिनेता हैं.
Tom can read.,Том умеет читать.,टॉम पढ़ सकता है.
You may go home.,Вы можете идти домой.,आप घर जा सकते हैं।
Who phoned?,Кто звонил?,किसने फ़ोन किया?
I'm right here.,Я прав здесь.,मैं बिल्कुल यहाँ हूँ।
I know French.,Я знаю французский.,मैं फ्रेंच जानता हूँ।
How deep is it?,Насколько это глубоко?,यह कितना गहरा है?
Tom's scared.,Том напуган.,टॉम डरा हुआ है.
I tend to agree.,Я склонен согласиться.,मैं सहमत हूं.
I'm an imam.,Я имам.,मैं एक इमाम हूं.
Come back.,Вернись.,वापस आओ।
Tom's returned.,Том вернулся.,टॉम वापस आ गया.
Tom is involved.,Том участвует.,टॉम शामिल है.
They lost again.,Они снова проиграли.,वे फिर हार गए.
I may win.,Я могу выиграть.,मैं जीत सकता हूँ.
Tom hates Mary.,Том ненавидит Мэри.,टॉम मैरी से नफरत करता है।
I hear laughing.,Я слышу смех.,मैं हँसता हुआ सुनता हूँ।
They mean well.,Они имеют в виду добро.,उनका मतलब अच्छा है.
Can you show me?,Можешь ли ты показать мне?,आप मुझे दिखा सकते हैं?
Am I safe now?,Я сейчас в безопасности?,क्या मैं अब सुरक्षित हूं?
I'm fasting.,Я спешу.,मैंने उपवास रखा है।
That's hers.,Это ее.,वह उसका है.
Here's your bag.,Вот твоя сумка.,ये रहा आपका बैग.
Let's practice.,Давай попрактикуемся.,का अभ्यास करते हैं।
It wasn't good.,Это было нехорошо.,यह अच्छा नहीं था.
I corrected it.,Я исправил это.,मैंने इसे ठीक कर दिया.
They were right.,Они были правы.,वे सही थे.
Let's forget it.,Давай забудем об этом.,चलो उसे भूल जाते हैं।
Tom and I ran.,Мы с Томом побежали.,टॉम और मैं भागे।
Don't be a baby.,Не будь ребенком.,बच्चे मत बनो.
Maybe he's dead.,"Может быть, он мертв.",शायद वह मर चुका है.
Tom scared us.,Том напугал нас.,टॉम ने हमें डरा दिया।
Is this my book?,Это моя книга?,क्या यह मेरी किताब है?
Tom pushed me.,Том толкнул меня.,टॉम ने मुझे धक्का दिया।
I blamed myself.,Я винил себя.,मैंने खुद को दोषी ठहराया.
They're allies.,Они союзники.,वे सहयोगी हैं.
You're famous.,Ты знаменит.,आप मशहूर हैं.
Tom cries a lot.,Том много плачет.,टॉम बहुत रोता है.
Bring it to me.,Принеси мне.,इसे मेरे पास लाओ।
Who's tired?,Кто устал?,कौन थक गया है?
We missed you.,Мы скучали по тебе.,हमने आपको याद किया।
May I sit down?,Могу я сесть?,क्या मैं बैठ सकता हूँ?
I won't laugh.,Я не буду смеяться.,मैं हंसूंगा नहीं.
Tom watches TV.,Том смотрит телевизор.,टॉम टीवी देखता है.
Tom's resigned.,Том подал в отставку.,टॉम ने इस्तीफा दे दिया.
I rely on Tom.,Я полагаюсь на Тома.,मैं टॉम पर भरोसा करता हूं।
I want to win.,Я хочу победить.,मैं जीतना चाहता हूँ।
I ran.,Я побежал.,मैं भागा.
How can Tom win?,Как Тому победить?,टॉम कैसे जीत सकता है?
"Hi, I'm Tom.","Привет, я Том.","नमस्ते, मैं टॉम हूं।"
Summer is here.,Лето здесь.,गर्मियों आ गयी।
Tom called home.,Том позвонил домой.,टॉम ने घर बुलाया।
My car's dirty.,Моя машина грязная.,मेरी कार गंदी है.
Was Tom there?,Том был там?,क्या टॉम वहाँ था?
I'm feeling OK.,Я чувствую себя хорошо.,मैं ठीक महसूस कर रहा हूं.
Everyone waited.,Все ждали.,सभी ने इंतजार किया.
Tom drew a tree.,Том нарисовал дерево.,टॉम ने एक पेड़ बनाया।
I can't walk.,Я не могу ходить.,मैं चल नहीं सकता.
Did you swim?,Ты плавал?,क्या आप तैरे?
Are they tall?,Они высокие?,क्या वे लंबे हैं?
I'm worried.,Я беспокоюсь.,मैं चिंतित हूँ।
They're boring.,Они скучные.,वे उबाऊ है।
Where's my wife?,Где моя жена?,मेरी पत्नी कहाँ है?
I'm a musician.,Я музыкант.,मैं एक संगीतज्ञ हूं।
Don't call again.,Не звони больше.,दोबारा फोन मत करना.
Tom is drowning.,Том тонет.,टॉम डूब रहा है.
This one's mine.,Это мое.,यह मेरा है.
I voted for you.,Я голосовал за тебя.,मैंने आपको वोट दिया.
We can help.,Мы можем помочь.,हम मदद कर सकते हैं।
Tom won't pay.,Том не заплатит.,टॉम भुगतान नहीं करेगा.
What scared you?,Что тебя напугало?,तुम्हें किस बात ने डरा दिया?
You'll get lost.,Вы заблудитесь.,तुम खो जाओगे.
Happy New Year!,С Новым Годом!,नए साल की शुभकामनाएँ!
Tom hated that.,Том ненавидел это.,टॉम को उससे नफरत थी।
Open the bottle.,Откройте бутылку.,बोतल खोलो.
I saw the game.,Я видел игру.,मैंने खेल देखा.
I burned it.,Я сжег его.,मैंने इसे जला दिया.
We must retreat.,Мы должны отступить.,हमें पीछे हटना होगा.
Tom is first.,Том первый.,टॉम पहले है.
We don't know.,Мы не знаем.,हमें पता नहीं।
Tom's a drunk.,Том пьян.,टॉम शराबी है.
There's no gold.,Там нет золота.,वहाँ कोई सोना नहीं है.
Tom isn't rich.,Том не богат.,टॉम अमीर नहीं है.
There's no salt.,Там нет соли.,नमक नहीं है.
I know this area.,Я знаю этот район.,मैं इस क्षेत्र को जानता हूं.
"I know that, Tom.","Я знаю это, Том.","मैं यह जानता हूं, टॉम।"
Loosen your tie.,Ослабьте галстук.,अपनी टाई ढीली करो.
Tom won't stop.,Том не остановится.,टॉम नहीं रुकेगा.
Is he a doctor?,Он доктор?,क्या वह डॉक्टर है?
It's marvelous.,Это чудесно.,यह अद्भुत है.
I work with Tom.,Я работаю с Томом.,मैं टॉम के साथ काम करता हूं।
Tom's very sad.,Том очень грустен.,टॉम बहुत दुखी है.
Tom sent for me.,Том послал за мной.,टॉम ने मेरे लिए भेजा।
You screwed up.,Ты облажался.,तुमने गड़बड़ कर दी।
They're crazy.,Они сумасшедшие.,वे पागल हैं.
Is it not black?,Разве оно не черное?,क्या यह काला नहीं है?
Is it helping?,Это помогает?,क्या इससे मदद मिल रही है?
Mary likes you.,Ты нравишься Мэри.,मैरी तुम्हें पसंद करती है.
"Go back, Tom.","Возвращайся, Том.","वापस जाओ, टॉम।"
Tom is ashamed.,Тому стыдно.,टॉम शर्मिंदा है.
He got a D.,Он получил Д.,उसे डी मिला.
I'm trapped.,Я в ловушке.,मैं फँस गया हूँ।
You'll make it.,Ты справишься.,तम इसे कर दोगे।
It's your turn.,Ваша очередь.,यह आपकी बारी है।
It's still here.,Оно все еще здесь.,यह अभी भी यहीं है.
Tom warned us.,Том предупредил нас.,टॉम ने हमें चेतावनी दी।
I wasn't honest.,Я не был честен.,मैं ईमानदार नहीं था.
My TV is broken.,Мой телевизор сломан.,मेरा टीवी टूट गया है.
Who invited you?,Кто вас пригласил?,आप को किसने बुलाया है?
I obeyed.,Я повиновался.,मैंने आज्ञा मानी.
I need friends.,Мне нужно друзей.,मुझे दोस्तों की जरूरत है।
I'm not famous.,Я не знаменит.,मैं जानामाना नहीं हूँ।
I have to shower.,Мне нужно принять душ.,मुझे शावर लेना है।
They work hard.,Они много работают.,वे कड़ी मेहनत करते हैं।
Natto is sticky.,Натто липкий.,नट्टो चिपचिपा है.
Mind your step.,Следите за своим шагом.,ध्यान से चलो।
It is very near.,Это очень близко.,यह बहुत निकट है.
We're the last.,Мы последние.,हम आखिरी हैं.
You can come in.,Вы можете войти.,आपका प्रवेश हो सकता है।
Tom is ready.,Том готов.,टॉम तैयार है.
It works.,Оно работает.,यह काम करता है।
Do you eat fish?,Вы едите рыбу?,आप मछली खाते हैं?
I'll buy this.,Я куплю это.,मैं इसे खरीदूंगा.
I slept.,Я спал.,मैं सो गया।
I was naive.,Я был наивен.,मैं नादान था.
Who cleaned it?,Кто это чистил?,इसे किसने साफ़ किया?
I checked twice.,Я проверил дважды.,मैंने दो बार जांच की.
Tom scolded me.,Том отругал меня.,टॉम ने मुझे डाँटा।
You are my hero.,Ты мой герой.,आप मेरे हीरो हैं।
You seem sad.,Ты выглядишь грустным.,तुम उदास लग रहे हो।
I like your city.,Мне нравится ваш город.,मुझे आपका शहर पसंद है.
Tom fooled Mary.,Том обманул Мэри.,टॉम ने मैरी को बेवकूफ बनाया।
I baked cookies.,Я испекла печенье.,मैंने कुकीज़ बेक कीं।
You should stay.,Тебе следует остаться.,तुम्हें रुकना चाहिए।
Go get coffee.,Иди принеси кофе.,जाओ कॉफ़ी ले आओ.
Tom adores me.,Том обожает меня.,टॉम मुझसे प्यार करता है.
I lost my temper.,Я потерял самообладание.,मैंने अपना आपा खो दिया।
The cat is wet.,Кот мокрый.,बिल्ली गीली है.
"No, thank you.","Нет, спасибо.",नहीं धन्यवाद।
I made spaghetti.,Я приготовила спагетти.,मैंने स्पेगेटी बनाई.
I feel so lost.,Я чувствую себя таким потерянным.,मैं काफी खोया हुआ महसूस करता हूं।
Wait a sec.,Подожди секунду.,एक सेकंड रुको।
We're losing.,Мы проигрываем.,हम हार रहे हैं.
I'm loyal.,Я лояльный.,मैं वफादार हूं।
I said get up!,Я сказал вставай!,मैंने कहा उठो!
Tom is diabetic.,Том диабетик.,टॉम मधुमेह रोगी है।
I'm a hero.,Я герой.,मैं एक हीरो हूं.
I got carded.,Меня выписали.,मुझे कार्ड मिल गया.
When's dinner?,Когда ужин?,रात का खाना कब है?
They were safe.,Они были в безопасности.,वे सुरक्षित थे.
Come with me.,Пойдем со мной.,मेरे साथ आइए।
I must warn him.,Я должен его предупредить.,मुझे उसे चेतावनी देनी चाहिए.
Tom never jokes.,Том никогда не шутит.,टॉम कभी मज़ाक नहीं करता।
We're awake.,Мы проснулись.,हम जाग रहे हैं.
I'm experienced.,Я опытный.,मैं अनुभवी हूं.
Come tomorrow.,Приходи завтра.,कल अ।
Leave this here.,Оставьте это здесь.,इसे यहीं छोड़ दो.
We arrested Tom.,Мы арестовали Тома.,हमने टॉम को गिरफ्तार कर लिया।
"Hey, come here.","Эй, иди сюда.","सुनो, यहां आओ।"
No one got sick.,Никто не заболел.,कोई बीमार नहीं पड़ा.
Tom is dreaming.,Том мечтает.,टॉम सपना देख रहा है.
He winked at her.,Он подмигнул ей.,उसने उसे आँख मारी.
Obey your mom.,Слушайся маму.,अपनी माँ की बात मानो.
I was on patrol.,Я был в патруле.,मैं गश्त पर था.
Call a plumber.,Вызовите сантехника.,प्लंबर को बुलाओ.
Tom is alone.,Том один.,टॉम अकेला है.
This must stop.,Это должно прекратиться.,ये रुकना चाहिए.
He wears pajamas.,Он носит пижаму.,वह पजामा पहनता है.
Is it working?,Работает?,क्या यह काम कर रहा है?
Relax a moment.,Расслабьтесь на минутку.,एक पल आराम करो.
