English,Russian,Hindi
Am I safe here?,Я здесь в безопасности?,क्या मैं यहाँ सुरक्षित हूँ?
Am I safe now?,Я сейчас в безопасности?,क्या मैं अब सुरक्षित हूं?
Am I stupid?,Я глупый?,मैं मूर्ख हूँ?
Am I talented?,Я талантлив?,क्या मैं प्रतिभाशाली हूँ?
Am I that scary?,Я настолько страшен?,क्या मैं इतना डरावना हूँ?
Am I too early?,Я слишком рано?,क्या मैं बहुत जल्दी में हूँ?
Am I too late?,Я опоздал?,क्या मुझे बहुत देर हो गई है?
Am I understood?,Я понял?,क्या मैं समझ गया?
Am I wrong?,Я ошибаюсь?,क्या मै गलत हु?
Answer Tom.,Ответь Тому.,उत्तर टॉम.
Answer in French.,Ответ на французском языке.,फ़्रेंच में उत्तर दें.
Answer me.,Ответьте мне.,मुझे जवाब दें।
Answer the phone.,Ответь на звонок.,फोन का जवाब दो।
Any book will do.,Любая книга подойдет.,कोई भी किताब काम करेगी.
Any questions?,Любые вопросы?,कोई प्रश्न?
Any seat will do.,Любое сиденье подойдет.,कोई भी सीट चलेगी.
Any suggestions?,Какие-либо предложения?,कोई सुझाव?
Anybody can try.,Любой может попробовать.,कोई भी कोशिश कर सकता है.
Anybody here?,Кто-нибудь здесь?,यहाँ किसी को भी?
Anybody home?,Есть кто-нибудь дома?,कोई घर पर है?
Anybody hurt?,Кто-нибудь пострадал?,किसी को चोट लगी?
Anybody in here?,Здесь есть кто-нибудь?,यहाँ कोई है?
Anybody knows it.,Это знает любой.,यह कोई भी जानता है.
Anybody see you?,Кто-нибудь тебя видел?,क्या किसी ने तुम्हें देखा?
Anybody will do.,Любой подойдет.,कोई भी करेगा.
Anyone can do it.,Любой может это сделать.,हर कोई यह कर सकता है।
Anyone home?,Кто-нибудь дома?,कोई घर पर है?
Anyone hurt?,Кто-нибудь пострадал?,किसी को चोट लगी?
Anything else?,Что-нибудь еще?,और कुछ?
Anything new?,Что-нибудь новое?,कुछ नया?
Anything will do.,Все подойдет.,कुछ भी करेगा।
Apologize to Tom.,Извинись перед Томом.,टॉम से माफ़ी मांगें.
Apples are red.,Яблоки красные.,सेब लाल हैं.
Apply in writing.,Подайте заявление в письменном виде.,लिखित रूप में आवेदन करें.
Are dragons real?,Драконы реальны?,क्या ड्रेगन असली हैं?
Are drinks free?,Напитки бесплатны?,क्या पेय मुफ़्त हैं?
Are ghosts real?,Реальны ли призраки?,क्या भूत सच में होते हैं?
Are my ears red?,Мои уши красные?,क्या मेरे कान लाल हैं?
Are there kids?,Есть дети?,क्या बच्चे हैं?
Are these yours?,Это ваши?,क्या ये आपके हैं?
Are they alive?,Они живы?,क्या वे जीवित हैं?
Are they armed?,Они вооружены?,क्या वे सशस्त्र हैं?
Are they busy?,Они заняты?,क्या वे व्यस्त हैं?
Are they cops?,Они полицейские?,क्या वे पुलिस वाले हैं?
Are they cute?,Они милые?,क्या वे प्यारे हैं?
Are they dead?,Они мертвы?,क्या वे मर चुके हैं?
Are they friends?,Они друзья?,क्या वो दोस्त हैं?
Are they gone?,Они ушли?,क्या वे चले गये?
Are they here?,Они здесь?,क्या वे यहां पर हैं?
Are they new?,Они новые?,क्या वे नए हैं?
Are they purple?,Они фиолетовые?,क्या वे बैंगनी हैं?
Are they related?,Они связаны?,क्या वे संबंधित हैं?
Are they serious?,Они серьезны?,क्या वे गंभीर हैं?
Are they sisters?,Они сестры?,क्या वे बहनें हैं?
Are they tall?,Они высокие?,क्या वे लंबे हैं?
Are those yours?,Это ваши?,क्या वे आपके हैं?
Are we all happy?,Мы все счастливы?,क्या हम सब खुश हैं?
Are we all ready?,Мы все готовы?,क्या हम सब तैयार हैं?
Are we alone?,Мы одни?,क्या हम अकेले हैं?
Are we done here?,Мы закончили здесь?,क्या हमारा काम यहीं पूरा हो गया?
Are we done yet?,Мы уже закончили?,हो गया क्या?
Are we done?,Мы все?,हम कर रहे हैं?
Are we finished?,Мы закончили?,क्या हम ख़त्म हो गए?
Are we friends?,Мы друзья?,हम दोस्त हैं?
Are we going far?,Далеко ли мы идём?,क्या हम बहुत दूर जा रहे हैं?
Are we in danger?,Мы в опасности?,क्या हम खतरे में हैं?
Are we leaving?,Мы уходим?,क्या हम जा रहे हैं?
Are we lost?,Мы потерялись?,क्या हम हार गए हैं?
Are we on time?,Мы вовремя?,क्या हम समय पर हैं?
Are we prepared?,Готовы ли мы?,क्या हम तैयार हैं?
Are we ready?,Мы готовы?,क्या हम तैयार हैं?
Are we safe here?,Мы здесь в безопасности?,क्या हम यहाँ सुरक्षित हैं?
Are we safe now?,Теперь мы в безопасности?,क्या अब हम सुरक्षित हैं?
Are we safe yet?,Мы уже в безопасности?,क्या हम अभी भी सुरक्षित हैं?
Are we safe?,Мы в безопасности?,क्या हम सुरक्षित हैं?
Are we sinking?,Мы тонем?,क्या हम डूब रहे हैं?
Are we there yet?,Мы уже на месте?,क्या हम अब भी वहां हैं?
Are you 18?,Тебе 18?,क्या आप 18 वर्ष के हैं?
Are you Canadian?,Ты канадец?,क्या तुम कनाडाई हो?
Are you Catholic?,Вы католик?,क्या आप ईसाई सम्प्रदाय के हैं?
Are you Japanese?,Ты японец?,क्या आप जापानी हैं?
"Are you OK, Tom?","Ты в порядке, Том?","क्या तुम ठीक हो, टॉम?"
Are you OK?,Ты в порядке?,क्या आप ठीक हैं?
Are you Tom?,Ты Том?,क्या आप टॉम हैं?
Are you a doctor?,Вы доктор?,क्या आप एक डॉक्टर हैं?
Are you a fan?,Вы фанат?,क्या आप एक प्रशंसक हैं?
Are you a ghost?,Ты призрак?,क्या आप प्रेत हो?
Are you a golfer?,Вы игрок в гольф?,क्या आप गोल्फ खिलाड़ी हैं?
Are you a lawyer?,Вы юрист?,क्या तुम एक वकील हो?
Are you a maniac?,Ты маньяк?,क्या तुम पागल हो?
Are you a model?,Вы модель?,क्या आप एक मॉडल हैं?
Are you a moron?,Ты что дебил?,क्या तुम मूर्ख हो?
Are you a priest?,Вы священник?,क्या आप पुजारी हैं?
Are you a racist?,Ты расист?,क्या आप नस्लवादी हैं?
Are you a singer?,Ты певец?,आप एक गायक हैं?
Are you a smoker?,Вы курильщик?,क्या आप धूम्रपान करते हैं?
Are you a typist?,Вы машинистка?,क्या आप टाइपिस्ट हैं?
Are you a wizard?,Ты волшебник?,क्या आप विज़ार्ड हो?
Are you afraid?,Ты боишься?,क्या आप डरते हैं?
Are you alive?,Ты жив?,क्या आप जीवित हैं?
Are you all home?,Вы все дома?,क्या आप सब घर पर हैं?
Are you all mad?,Вы все злитесь?,क्या तुम सब पागल हो?
Are you all nuts?,Вы все спятили?,क्या तुम सब पागल हो?
Are you alone?,Ты один?,अकेली हो?
Are you an idiot?,Ты идиот?,क्या तुम एक बेवकूफ हो?
Are you angry?,Ты сердишься?,आप नाराज हो गए क्या?
Are you anxious?,Вы обеспокоены?,क्या आप चिंतित हैं?
Are you armed?,Вы вооружены?,क्या आप सशस्त्र हैं?
Are you asleep?,Ты спишь?,सो गया क्या?
Are you at home?,Ты дома?,क्या आप घर पर हैं?
Are you at work?,Ты на работе?,क्या आप काम कर रहे हैं?
Are you awake?,Ты проснулся?,क्या तुम जाग रहे हो?
Are you bald?,Ты лысый?,क्या आप गंजे हैं?
Are you blind?,Вы слепой?,आप अंधे हैं?
Are you blushing?,Ты краснеешь?,क्या तुम शरमा रहे हो?
Are you bored?,Вам скучно?,क्या आप बोर हो रहे हैं?
Are you brothers?,Вы братья?,क्या तुम भाई हो?
Are you busy now?,Ты сейчас занят?,क्या आप अभी व्यस्त हैं?
Are you busy?,Вы заняты?,क्या आप व्यस्त हैं?
Are you certain?,Ты уверен?,आप विश्वस्त हैं?
Are you cold?,Тебе холодно?,क्या आपको ठंड लग रही हैं?
Are you coming?,Ты идешь?,क्या तुम आ रहे हो?
Are you content?,Вы довольны?,क्या आप संतुष्ट हैं?
Are you cops?,Вы полицейские?,क्या आप पुलिस वाले हैं?
Are you crazy?,Вы с ума сошли?,क्या तुम पागल हो?
Are you crying?,Ты плачешь?,क्या आप रो रहे हैं?
Are you dead?,Ты мертв?,तुम मर चुके क्या?
Are you deaf?,Вы глухи?,आप बहरा हैं?
Are you doctors?,Вы врачи?,क्या आप डॉक्टर हैं?
Are you done now?,Вы закончили?,क्या आपने कर लिया है?
Are you done?,Вы закончили?,आप क्या कर रहे हैं?
Are you dressed?,Ты одет?,क्या आपने कपड़े पहने हैं?
Are you drinking?,Ты пьешь?,क्या आप पी रहे हैं?
Are you drunk?,Ты пьян?,क्या आप नशे में हैं?
Are you dying?,Ты умираешь?,क्या तुम मर रहे हो?
Are you dyslexic?,У тебя дислексия?,क्या आप डिस्लेक्सिक हैं?
Are you envious?,Вы завидуете?,क्या आप ईर्ष्यालु हैं?
Are you excited?,Вы взволнованы?,क्या आप उत्साहित हैं?
Are you fair?,Ты справедлив?,क्या आप निष्पक्ष हैं?
Are you faithful?,Вы верны?,क्या आप वफादार हैं?
Are you famous?,Вы известный?,क्या आप प्रसिद्ध हैं?
Are you fat?,Ты толстая?,क्या आप मोटे हैं?
Are you finicky?,Вы привередливы?,क्या तुम नकचढ़े हो?
Are you finished?,Вы закончили?,क्या आपका काम समाप्त हो गया?
Are you for real?,Ты серьезно?,क्या तुम सच में हो?
Are you free now?,Ты сейчас свободен?,क्या अब आप खाली हैं?
Are you free?,Вы свободны?,क्या तुम आज़ाद हो?
Are you freezing?,Ты замерзаешь?,क्या आपको ठंड लग रही है?
Are you friends?,Вы друзья?,क्या तुम दोस्त हो?
Are you full?,Ты дурак?,आपका पेट भर गया?
Are you generous?,Вы щедры?,क्या आप उदार हैं?
Are you going?,Вы собираетесь?,क्या आप जा रहें है?
Are you guys OK?,"Ребята, вы в порядке?",क्या तुम लोग ठीक हो?
Are you happy?,Вы счастливы?,क्या तुम खुश हो?
Are you healthy?,Ты здоров?,क्या आप तंदुरुस्त है?
Are you here?,Вы здесь?,क्या आप यहां हैं?
Are you hiding?,Ты прячешься?,क्या आप छुपा रहे हैं?
Are you hiring?,Вы наняты?,क्या तुम नौकरी पर राखी रहे हो?
Are you home?,Ты дома?,क्या आप घर पर हैं?
Are you homeless?,Ты бездомный?,क्या आप बेघर हैं?
Are you hot?,Тебе жарко?,क्या आप गर्म हैं?
Are you hungry?,Вы голодны?,क्या आप भूखे हैं?
Are you hurt?,Вы ранены?,क्या तुम्हे चोट लगी?
Are you in Paris?,Вы в Париже?,क्या आप पेरिस में हैं?
Are you in love?,Ты влюблен?,क्या आप प्यार में हैं?
Are you in pain?,Вам больно?,क्या आपको दर्द हो रहा है?
Are you in place?,Вы на месте?,क्या आप जगह पर हैं?
Are you in?,Вы внутри?,क्या आप अंदर हैं?
Are you insane?,Вы ненормальный?,आप पागल हैं क्या?
Are you insured?,Вы застрахованы?,क्या आप बीमाकृत हैं?
Are you jealous?,Ты ревнуешь?,क्या आपको ईर्ष्या हो रही है?
Are you joking?,Вы шутите?,क्या आप मजाक कर रहे हैं?
Are you kidding?,Вы шутите?,क्या तुम मजाक कर रहे हो?
Are you leaving?,Ты живешь?,क्या आप जा रहे हैं?
Are you lonely?,Ты одинок?,क्या आप अकेले हैं?
Are you looking?,Вы ищете?,क्या आप तलाश में हैं?
Are you lost?,Вы заблудились?,तुम खो रहे हैं?
Are you lucky?,Вам повезло?,क्या आप भाग्यशाली हैं?
Are you lying?,Ты лежишь?,क्या आप झूठ बोल रहे हैं?
Are you mad?,Вы с ума сошли?,क्या तुम पागल हो?
Are you married?,Ты женат?,क्या आप शादीशुदा हैं?
Are you my enemy?,Ты мой враг?,क्या तुम मेरे दुश्मन हो?
Are you nervous?,Ты нервничаешь?,आप नर्वस हैं?
Are you new here?,Ты здесь новенький?,क्या आप यहां नए आये हैं?
"Are you new, too?",Ты тоже новенький?,क्या आप भी नये हैं?
Are you new?,Ты новенький?,क्या आप नए हैं?
Are you nuts?,Ты свихнулся?,क्या आप पागल हैं?
Are you okay?,Ты в порядке?,तुम ठीक हो?
Are you on board?,Вы на борту?,क्या आप जहाज पर हैं?
Are you on drugs?,Ты под наркотой?,क्या आप दवा पर हैं?
Are you open now?,Вы сейчас открыты?,क्या आप अब खुले हैं?
Are you over 18?,Вам больше 18?,क्या आप 18 से अधिक के हैं?
Are you polite?,Вы вежливы?,क्या आप विनम्र हैं?
Are you popular?,Вы популярны?,क्या आप लोकप्रिय हैं?
Are you pregnant?,Ты беременна?,क्या आप गर्भवती हैं?
Are you prudent?,Вы благоразумны?,क्या आप समझदार हैं?
Are you punctual?,Вы пунктуальны?,क्या आप समय के पाबंद हैं?
Are you racist?,Ты расист?,आप नस्लवादी हैं?
Are you ready?,Вы готовы?,क्या आप तैयार हैं?
Are you related?,Вы связаны?,क्या तुम सम्बंधित हो?
Are you relaxed?,Вы расслаблены?,क्या आप निश्चिंत हैं?
Are you retired?,Вы на пенсии?,क्या तुम सेवानिवृत हो?
Are you rich?,Вы богаты?,क्या आप अमीर हैं?
Are you sad?,Ты грустный?,क्या आप दुखी हैं?
Are you safe?,Вы в безопасности?,क्या आप सुरक्षित हैं?
Are you sane?,Вы в здравом уме?,क्या आप समझदार हैं?
Are you scared?,Ты боишься?,डर गया क्या?
Are you serious?,Ты серьезно?,क्या आप गंभीर हैं?
Are you shy?,Вы застенчивы?,क्या आप शर्मीले हैं?
Are you sick?,Ты болеешь?,क्या आप बीमार हैं?
Are you sincere?,Вы искренни?,क्या आप ईमानदार हैं?
Are you single?,Вы свободны?,क्या आप अविवाहित हैं?
Are you sisters?,Вы сестры?,क्या आप बहने हों?
Are you sleeping?,Ты спишь?,क्या आप सो रहे हैं?
Are you sleepy?,Ты сонный?,क्या आप उन्नींदें हैं?
Are you smiling?,Ты улыбаешься?,या तुम हंस रहे हो?
Are you still up?,Ты все еще не спишь?,क्या आप अभी ऊपर हो?
Are you stuck?,Вы застряли?,क्या तुम परेशान हो?
Are you students?,Вы студенты?,क्या आप सब विद्यार्थी है?
Are you studying?,Вы учитесь?,क्या आप पढ़ रहे हैं?
Are you stupid?,Ты дурак?,क्या आप बेवकूफ हैं?
Are you sure?,Вы уверены?,क्या आपको यकीन है?
Are you tall?,Ты высокий?,क्या तुम लम्बे हो?
Are you teachers?,Вы учителя?,क्या आप शिक्षक हैं?
Are you the boss?,Ты босс?,क्या आप बॉस हैं?
Are you there?,Ты здесь?,क्या आप मौजूद हैं?
Are you thirsty?,Ты хочешь пить?,क्या आप प्यासे हैं?
Are you tired?,Вы устали?,क्या आप थके हैं?
Are you twins?,Вы близнецы?,आप जुड़वाँ हैं?
Are you two busy?,Вы двое заняты?,क्या आप दोनों व्यस्त हैं?
Are you unhappy?,Вы недовольны?,क्या आप दुखी हैं?
Are you unlucky?,Вам не повезло?,क्या आप बदकिस्मत हैं?
Are you unwell?,Вы нездоровы?,क्या आप अस्वस्थ हैं?
Are you up?,Ты встал?,क्या आप ऊपर हैं?
Are you upset?,Ты расстроен?,क्या आप परेशान हैं?
Are you wealthy?,Вы богаты?,क्या आप अमीर हैं?
Are you winning?,Ты выигрываешь?,क्या तुम जीत रहे हो?
Are you with Tom?,Ты с Томом?,क्या आप टॉम के साथ हैं?
Are you with me?,Ты со мной?,क्या आप मेरे साथ हैं?
Are you with us?,Ты с нами?,क्या आप हमारे साथ हैं?
Are you working?,Вы работаете?,आप जॉब करती हो क्या
Are you wounded?,Ты ранен?,क्या आप घायल हैं?
Are you young?,Вы молоды?,आप युवा हैं?
Aren't I right?,Разве я не прав?,क्या मैं सही नहीं हूँ?
Aren't we going?,Разве мы не собираемся?,क्या हम नहीं जा रहे हैं?
Aren't you Tom?,Разве ты не Том?,क्या तुम टॉम नहीं हो?
Aren't you a cop?,Ты не полицейский?,क्या तुम पुलिसवाले नहीं हो?
Aren't you alone?,Разве ты не один?,क्या आप अकेले नहीं हैं?
Aren't you angry?,Ты не сердишься?,क्या आप नाराज नहीं हैं?
Aren't you busy?,Ты не занят?,क्या आप व्यस्त नहीं हैं?
Aren't you cold?,Тебе не холодно?,क्या तुम्हें ठंड नहीं लग रही?
Aren't you done?,Ты еще не закончил?,क्या आपका काम पूरा नहीं हुआ?
Aren't you glad?,Разве ты не рад?,क्या आप खुश नहीं हैं?
Aren't you happy?,Разве ты не счастлив?,क्या आप खुश नहीं हैं?
Aren't you hot?,Тебе не жарко?,क्या तुम हॉट नहीं हो?
Aren't you late?,Ты не опоздал?,क्या तुम्हें देर नहीं हुई?
Aren't you ready?,Вы не готовы?,क्या आप तैयार नहीं हैं?
Aren't you rich?,Разве ты не богат?,क्या तुम अमीर नहीं हो?
Aren't you sad?,Тебе не грустно?,क्या आप दुखी नहीं हैं?
Aren't you sure?,Вы не уверены?,क्या तुम्हें यकीन नहीं है?
Aren't you tired?,Ты не устал?,क्या तुम थके नहीं हो?
Ask Mary out.,Пригласи Мэри на свидание.,मैरी से पूछो.
Ask Tom about it.,Спроси об этом Тома.,टॉम से इसके बारे में पूछें।
Ask Tom again.,Спроси Тома еще раз.,टॉम से दोबारा पूछें.
Ask Tom anything.,Спроси Тома о чём угодно.,टॉम से कुछ भी पूछें.
Ask Tom instead.,Лучше спроси Тома.,इसके बजाय टॉम से पूछें।
Ask Tom to help.,Попросите Тома помочь.,टॉम से मदद माँगें।
Ask Tom to leave.,Попросите Тома уйти.,टॉम को जाने के लिए कहें.
Ask Tom to sing.,Попросите Тома спеть.,टॉम को गाने के लिए कहें.
Ask Tom to smile.,Попросите Тома улыбнуться.,टॉम को मुस्कुराने के लिए कहें।
Ask Tom to stay.,Попроси Тома остаться.,टॉम को रुकने के लिए कहें।
Ask Tom yourself.,Спроси Тома сам.,टॉम से स्वयं पूछें.
Ask Tom.,Спроси Тома.,टॉम से पूछो.
Ask an expert.,Спросите эксперта.,किसी विशेषज्ञ से पूछें.
Ask any woman.,Спросите любую женщину.,किसी भी महिला से पूछो.
Ask anybody.,Спросите кого угодно.,किसी से भी पूछो.
Ask anyone.,Спросите кого угодно.,किसी से भी पूछो.
Ask around.,Поспрашивать.,आसपास पूछो।
Ask for Tom.,Спроси Тома.,टॉम के लिए पूछो.
Ask her her name.,"Спроси у нее, как ее зовут.",उससे उसका नाम पूछें.
Ask him his name.,"Спросите его, как его зовут.",उससे उसका नाम पूछें.
Ask me anything!,Спрашивай о чем угодно!,मुझसे कुछ भी पूछें!
Ask me tomorrow.,Спроси меня завтра.,कल मुझसे पूछो.
Ask my friends.,Спроси моих друзей.,मेरे दोस्तों से पूछो.
Ask them to come.,Попросите их прийти.,उन्हें आने के लिए कहें.
Ask them to help.,Попросите их помочь.,उनसे मदद माँगें.
Ask them.,Спроси их.,उन्हें पूछना।
Ask yourself why.,"Спросите себя, почему.",अपने आप से पूछें क्यों.
"At last, he came.",Наконец он пришел.,आख़िरकार वह आ ही गया.
Atlantis is real.,Атлантида реальна.,अटलांटिस असली है.
Attack!,Атака!,आक्रमण करना!
Attention please!,"Внимание, пожалуйста!",कृपया ध्यान दें!
Autumn is here.,Осень здесь.,शरद ऋतु आ गई है।
Avoid clichés.,Избегайте клише.,घिसी-पिटी बातों से बचें.
Awesome!,Потрясающий!,बहुत बढ़िया!
Back off!,Отвали!,पीछे हटना!
Back off.,Отвали.,पीछे हटना।
Balls are round.,Шары круглые.,गेंदें गोल हैं.
Bats are mammals.,Летучие мыши — млекопитающие.,चमगादड़ स्तनधारी हैं.
Be a good boy.,Будь хорошим мальчиком.,अच्छा लड़का बनो।
Be a good girl.,Будь хорошей девочкой.,अच्छी बच्ची बनो।
Be a man.,Будь мужчиной.,एक आदमी बनों।
Be attentive.,Быть внимательным.,जागरुक रहें।
Be brave.,Быть храбрым.,बहादुर बनो।
"Be brief, please.","Будьте кратки, пожалуйста.",कृपया संक्षिप्त रहें।
Be brief.,Будь краток.,संक्षिप्त करें।
Be calm.,Успокойся.,शांत रहो।
Be careful!,Будь осторожен!,ध्यान से!
"Be careful, OK?","Будь осторожен, ладно?","सावधान रहें, ठीक है?"
"Be careful, Tom.","Будь осторожен, Том.","सावधान रहें, टॉम।"
Be careful.,Будь осторожен.,ध्यान से।
Be confident.,Будьте уверены в себе.,विश्वास रखें।
Be content.,Быть довольным.,संतुष्ट रहें।
Be creative.,Будь креативным.,रचनात्मक बनो।
Be discreet.,Будьте осторожны.,विवेकशील रहें.
Be fair.,Будь честен.,निष्पक्ष हो।
Be frank with me!,Будьте со мной откровенны!,मेरे साथ स्पष्ट रहो!
Be friendly.,Будь дружелюбным.,अनुकूल होना।
Be generous.,Будьте щедры.,उदार बने।
Be happy for me.,Радуйся за меня.,मेरे लिए खुश रहो.
Be honest.,Будь честным.,ईमानदार हो।
Be kind to Tom.,Будьте добры к Тому.,टॉम के प्रति दयालु रहें.
Be merciful.,Будьте милосердны.,दयालु बनो.
Be merciless.,Будьте беспощадны.,निर्दयी बनो.
Be more flexible.,Будьте более гибкими.,अधिक लचीले बनें.
Be nice to Tom.,Будь вежлив с Томом.,टॉम के साथ अच्छा व्यवहार करें.
Be nice to her.,Будьте с ней любезны.,उसके साथ अच्छा व्यवहार करें.
Be nice.,Будь милым.,अच्छा होगा।
Be nicer to Tom.,Будь добрее к Тому.,टॉम के साथ अच्छा व्यवहार करें।
Be objective.,Будьте объективны.,वस्तुनिष्ठ बनें.
Be on time.,Быть вовремя.,समय पर हो।
Be our guest.,Будь нашим гостем.,हमारे मेहमान बने।
Be patient.,Потерпи.,धैर्य रखें।
Be prepared.,Будь готов.,तैयार रहें।
Be punctual.,Быть пунктуальным.,पाबंद रहो।
Be quiet now.,Молчи теперь.,अब चुप रहो.
"Be quiet, girls.","Молчите, девочки.","चुप रहो, लड़कियाँ।"
Be quiet.,Будь спокоен.,चुप रहें।
Be realistic!,Быть реалистичным!,यथार्थवादी बनें!
Be realistic.,Быть реалистичным.,यथार्थवादी बनें।
Be reasonable.,Будь благоразумен.,उचित बनो।
Be respectful.,Быть почтительным.,सम्मान से रहो।
Be ruthless.,Будьте безжалостны.,निर्दयी बनो.
Be sensible.,Будьте разумны.,समझदार बनना।
Be serious.,Будь серьезен.,गंभीर रहो।
Be specific.,Быть конкретной.,विशिष्ट रहो।
