English,Russian,Hindi
Tom ate.,Том поел.,टॉम ने खा लिया.
Tom ran.,Том побежал.,टॉम भागा.
Tom won.,Том победил.,टॉम जीत गया.
Wake up!,Проснуться!,जागो!
Wake up.,Проснуться.,जागो।
Wash up.,Вымойтесь.,नहाना।
We care.,Мы заботимся.,हमें परवाह है।
We know.,Мы знаем.,हम जानते हैं।
We lost.,Мы потерялись.,हमने खो दिया।
Who ate?,Кто ел?,किसने खाया?
Who ran?,Кто побежал?,कौन भागा?
Who won?,Кто выиграл?,कौन जीता?
Why not?,Почему нет?,क्यों नहीं?
You run.,Ты бежишь.,तुम दौड़ो।
You won.,Ты выиграл.,आप जीते।
Am I fat?,Я толстый?,क्या मैं मोटा हूँ?
Ask them.,Спроси их.,उन्हें पूछना।
Back off!,Отвали!,पीछे हटना!
Back off.,Отвали.,पीछे हटना।
Be a man.,Будь мужчиной.,एक आदमी बनों।
Be brave.,Быть храбрым.,बहादुर बनो।
Be brief.,Будь краток.,संक्षिप्त करें।
Be quiet.,Будь спокоен.,चुप रहें।
Beats me.,Бьет меня.,मुझे पता नहीं।
Buzz off.,Отдохните.,चले जाओ।
"Bye, Tom.","Пока, Том.","अलविदा, टॉम।"
Call Tom.,Позвони Тому.,टॉम को बुलाओ.
Cheer up!,Не унывать!,खुश हो जाओ!
Cheer up.,Не унывать.,खुश हो जाओ।
Cool off!,Остывать!,ठंडा करें!
Cuff him.,Наденьте на него наручники.,उसे जकड़ लो.
Don't go.,Не уходи.,मत जाओ.
Drive on.,Покататься на.,पर चलाना।
Find Tom.,Найдите Тома.,टॉम को खोजें.
Fix this.,Почини это.,इसे ठीक करो।
Get away!,Уходи!,दूर हो जाओ!
Get down!,Спускаться!,नीचे उतरो!
Get down.,Спускаться.,नीचे उतरो।
Get lost!,Теряться!,भाड़ में जाओ!
Get lost.,Теряться.,भाड़ में जाओ।
Get real!,Станьте реальностью!,असली लें!
Get real.,Станьте реальностью.,असली लें।
Go ahead!,"Вперед, продолжать!",आगे बढ़ो!
Go ahead.,"Вперед, продолжать.",आगे बढ़ो।
Go on in.,Заходите.,अंदर जाओ.
Good job!,Хорошая работа!,अच्छा काम!
Grab Tom.,Хватай Тома.,टॉम को पकड़ो.
Grab him.,Хватай его.,उसे पकड़ो।
Have fun.,Веселиться.,मस्ती करो।
He spoke.,Он говорил.,वह बोला।
He tried.,Он пытался.,उसने कोशिश करी।
He's wet.,Он мокрый.,वह गीला है.
Help Tom.,Помогите Тому.,टॉम की मदद करो.
"Hi, guys.","Привет, ребята.",हाय दोस्तों।
How cute!,Как мило!,कितना प्यारा!
How deep?,Как глубоко?,कितना गहरा?
How rude!,Как грубо!,कैसे अशिष्ट हैं!
Humor me.,Рассмеши меня.,मुझे छोड़ दो।
Hurry up.,Торопиться.,जल्दी करो।
I agreed.,Я согласился.,मैं सहमत।
I am old.,Я стар.,मैं बूढ़ा हूँ।
I ate it.,Я съел это.,मैंने उसे खा लिया।
I burped.,Я рыгнул.,मुझे डकार आई।
I can go.,Я могу идти.,मैं जा सकता हूं।
I danced.,Я танцевал.,मैनें नृत्य किया।
I did it.,Я сделал это.,मैंने यह किया है।
I failed.,Я потерпел неудачу.,में विफल रहा है।
I gasped.,Я ахнул.,मैं हांफने लगा।
I get by.,Я справляюсь.,मै पहुँच गया।
I goofed.,Я облажался.,मैंने मूर्खता की.
I got it.,Я понял.,मैं समझ गया।
I got up.,Я встал.,मैं उठा।
I helped.,Я помог.,मैंने मदद की।
I jumped.,Я прыгнул.,मैं कूद गया।
I looked.,Я посмотрел.,मैंने देखा।
I moaned.,Я застонал.,मैं कराह उठा.
I nodded.,Я кивнул.,मेंने सिर हिलाया।
I obeyed.,Я повиновался.,मैंने आज्ञा मानी.
I paused.,Я сделал паузу.,मैं रुक गया.
I phoned.,Я звонил.,मैने फोन किया।
I prayed.,Я молился.,मैंने प्रार्थना की।
I refuse.,Я отказываюсь.,मैंने मना कर दिया।
I resign.,Я ухожу в отставку.,मैंने इस्तीफा दिया।
I saw it.,Я видел это.,मैंने उसे देखा।
I shaved.,Я побрился.,मैने मुंडा।
I sighed.,Я вздохнул.,मैंने आह भरी।
I smiled.,Я улыбнулась.,मैं मुस्कराया।
I stayed.,Я остался.,मैं रुका रहा।
I talked.,Я говорил.,मैंनें बात की।
I use it.,Я использую это.,मैंने इसका उपयोग किया।
I waited.,Я ждал.,मैंने इंतजार किया।
I winked.,Я подмигнул.,मैंने आँख मार दी.
I yawned.,Я зевнул.,मैंने उबासी ली.
I'd wait.,Я бы подождал.,मैं इंतजार करूंगा.
I'll ask.,Я спрошу.,मैं पूछता हूं।
I'll die.,Я умру.,मैं मर जाउंगा।
I'll pay.,Я заплачу.,मैं भुगतान करूंगा।
I'll try.,Я постараюсь.,मेँ कोशिश करुंगा।
I'll win.,Я выиграю.,मैं जीतूंगा.
I'm a DJ.,Я диджей.,मैं एक डीजे हूं.
I'm back.,Я вернулся.,मैं वापस आ गया हूं।
I'm bald.,Я лысый.,मेरे सिर पर बाल नहीं है।
I'm busy.,Я занят.,मैं व्यस्त हूं।
I'm calm.,Я спокоен.,मैं शांत हूँ।
I'm cold.,Мне холодно.,मुझे ठंड लग रही है।
I'm cool.,Я крут.,मैं ठीक हूँ।
I'm deaf.,Я глухой.,मैं बहरा हूँ।
I'm done.,Я задолбался.,मेरा काम हो गया।
I'm easy.,Мне легко.,मैं सहज हूं।
I'm fair.,Я честен.,मैं सही हूं।
I'm fast.,Я быстрый.,मैं तेज हूं।
I'm fine.,Я в порядке.,मैं ठीक हूँ।
I'm free!,Я свободен!,मैं व्यस्त नहीं हूं!
I'm free.,Я свободен.,मैं व्यस्त नहीं हूं।
I'm full.,Я сыт.,मेरा पेट भर चुका है।
I'm glad.,Я рад.,मैं खुश हूं।
I'm good.,Я в порядке.,मैं अच्छा हूँ।
I'm here.,Я здесь.,मैं यहाँ हूँ।
I'm high.,Я высокий.,मैं नशे में हूँ।
I'm home.,Я дома.,मेँ घर पर हूँ।
I'm hurt.,Мне больно.,मुझे चोट लगी है।
I'm last.,Я последний.,मैं आखिरी हूं.
I'm late.,Я опаздываю.,मुझे देर हो गई।
I'm lazy.,Мне лень.,मैं आलसी हूँ।
I'm lost.,Я заблудился.,मैं हार गया हूं।
I'm mean.,Я злой.,मैं नीच हूं।
I'm neat.,Я аккуратный.,मैं साफ़-सुथरा हूँ.
I'm next.,Я следующий.,मैं अगला हूं.
I'm numb.,Я онемела.,मैं सुन्न पड़ गया हूँ।
I'm okay.,Я в порядке.,मैं ठीक हूँ।
I'm poor.,Я беден.,मैं गरीब हूँ।
I'm rich.,Я богат.,मैं अमीर हूँ।
I'm safe.,Я в безопасности.,मैं सुरक्षित हूं।
I'm sick.,Я болен.,मैं बीमार हूं।
I'm slow.,Я медленный.,मैं धीमा हूं।
I'm sure.,Я уверен.,मुझे यकीन है।
I'm tall.,Я высокая.,मैं लंबा हूँ।
I'm thin.,Я худой.,मैं पतली हूँ।
I'm tidy.,Я аккуратный.,मैं साफ-सुथरा हूं.
I'm ugly.,Я страшная.,मैं बदसूरत हूं।
I'm warm.,Мне тепло.,मैं गर्म हूं।
I'm weak.,Я слаб.,मैं कमजोर हूँ।
I'm well.,Я в порядке.,मैं अच्छा हूँ।
I'm wise.,Я мудрый.,मैं बुद्धिमान हूं.
I've won.,Я выиграл.,मैं जीत गया।
It helps.,Помогает.,यह मदद करता है।
It hurts.,Это больно.,यह दुखदायक है।
It works.,Оно работает.,यह काम करता है।
It's Tom.,Это Том.,यह टॉम है.
It's fun.,Это весело.,मजा आता है।
It's his.,Это его.,यह है उसकी।
It's hot.,Жарко.,गर्मी है.
It's new.,Это новое.,यह नया है।
It's odd.,Это странно.,यह अजीब है।
It's old.,Это старое.,यह पुराना है।
It's red.,Оно красное.,यह लाल हो गया है।
It's sad.,Грустно.,यह दुख की बात है।
Keep out.,Держись подальше.,दूर रहो।
Kill Tom.,Убить Тома.,टॉम को मार डालो.
Kiss Tom.,Поцелуй Тома.,टॉम को चूमो.
Leave it.,Оставь это.,इसे छोड़ो।
Leave me.,Оставь меня.,मुझे छोड़ दो।
Leave us.,Оставь нас.,हमे छोड़ दो।
Let's go!,Пойдем!,चल दर!
Let's go.,Пойдем.,चल दर।
Look out!,Высматривать!,बाहर देखो!
Marry me.,Выходи за меня.,मुझसे विवाह करो।
May I go?,Могу я пойти?,क्या मैं जा सकता हुँ?
Run away.,Убегать.,भाग जाओ।
Save Tom.,Спасти Тома.,टॉम को बचाओ.
She came.,Она пришла.,वह आया।
She died.,Она умерла.,वह मर गई।
She lied.,Она врет.,वह झूठ बोली।
She runs.,Она бежит.,वह भागती है।
Sit down!,Садиться!,बैठ जाओ!
Sit down.,Садиться.,बैठ जाओ।
Sit here.,Сидеть здесь.,यहाँ बैठो।
Speak up!,Высказываться!,घोषित करना!
Stand by.,Поддерживать.,समर्थन करना।
Stand up!,Вставать!,खड़े हो जाओ!
Stand up.,Вставать.,खड़े हो जाओ।
Stay put.,Оставайся на месте.,यहीं रहो।
Stop Tom.,Останови Тома.,टॉम रुको.
Take Tom.,Возьмите Тома.,टॉम को ले लो.
Taste it.,Попробуй это.,इसे चखें।
Tell Tom.,Скажи Тому.,टॉम को बताओ.
Terrific!,Потрясающий!,कमाल का!
They won.,Они выиграли.,वे जीत गये।
Tom came.,Том пришел.,टॉम आया.
Tom died.,Том умер.,टॉम मर गया.
Tom fell.,Том упал.,टॉम गिर गया.
Tom knew.,Том знал.,टॉम जानता था.
Tom left.,Том ушел.,टॉम चला गया.
Tom lied.,Том солгал.,टॉम ने झूठ बोला.
Tom lies.,Том лжет.,टॉम झूठ बोलता है.
Tom lost.,Том проиграл.,टॉम हार गया.
Tom paid.,Том заплатил.,टॉम ने भुगतान किया।
Tom quit.,Том ушел.,टॉम ने छोड़ दिया.
Tom sang.,Том пел.,टॉम ने गाया.
Tom swam.,Том плавал.,टॉम तैरा.
Tom went.,Том пошел.,टॉम गया.
Tom wept.,Том плакал.,टॉम रोया.
Too late.,Слишком поздно.,बहुत देर हो गई।
Touch it.,Потрогай это.,इसे छूओ।
Trust me.,Поверьте мне.,मुझ पर भरोसा करें।
Try hard.,Сильно стараться.,कठिन प्रयास।
Try some.,Попробуй немного.,कुछ कोशिश करो।
Try this.,Попробуй это.,ये कोशिश करें।
Use this.,Использовать это.,इस का उपयोग करें।
Warn Tom.,Предупреди Тома.,टॉम को चेतावनी दें.
We agree.,Мы согласны.,हम सहमत।
We tried.,Мы попытались.,कोशिश की।
We'll go.,Мы пойдем.,हम जायेंगे।
We're OK.,Мы в порядке.,हम ठीक हैं.
What for?,Зачем?,किस लिए?
What fun!,Как весело!,कितना मजेदार!
Who came?,Кто пришел?,कौन आय था?
Who died?,Который умер?,कौन मरा?
Who fell?,Кто упал?,कौन गिरा?
Who lost?,Кто проиграл?,कौन हारा?
Who paid?,Кто заплатил?,किसने भुगतान किया?
Who quit?,Кто ушел?,किसने छोड़ा?
Who swam?,Кто плавал?,कौन तैरा?
Write me.,Напиши мне.,मुझे लिखो।
You lost.,Ты проиграла.,आपने खो दिया।
After you.,После Вас.,आप के बाद.
Aim. Fire!,Цель. Огонь!,उद्देश्य। आग!
Am I dead?,Я мертв?,क्या मैं मर गयी हूं?
Am I late?,Я опаздываю?,क्या मैं देर से आया हूँ?
Answer me.,Ответьте мне.,मुझे जवाब दें।
Be honest.,Будь честным.,ईमानदार हो।
Birds fly.,Птицы летают.,पक्षियों की उड़ान भरने।
Bless you.,Будьте здоровы.,तुम्हें आशीर्वाद देते हैं।
Call home!,Позвони домой!,घर फोन करो!
Calm down!,Успокоиться!,शांत हो जाएं!
Calm down.,Успокоиться.,शांत हो जाएं।
Can I eat?,Могу ли я поесть?,क्या में खा सकता हूँ?
Can we go?,Можем мы пойти?,क्या हम जा सकते हैं?
Catch Tom.,Поймай Тома.,टॉम को पकड़ो.
Catch him.,Поймай его.,उसे पकड़ने।
Chill out.,Расслабляться.,मज़े करें।
Choose me.,Выбери меня.,मुझे चुनो।
Clear out.,Вычищать.,मिटा दें।
Come back.,Вернись.,वापस आओ।
Come here.,Идите сюда.,यहाँ आओ।
Come home.,Иди домой.,घर आना।
Come over!,Приезжать!,मिलने आना!
Come over.,Приезжать.,मिलने आना।
Come soon.,Приходи быстрее.,जल्दी आओ।
Cool down.,Остывать.,शांत हो जाओ।
Did I win?,Я выиграл?,क्या मैंने जीत लिया?
Do it now.,Сделай это сейчас.,अभी करो।
Dogs bark.,Собаки лают.,कुत्ते भौंकते हैं।
Don't ask.,Не спрашивай.,मत पूछो.
Don't cry.,Не плачь.,रोओ मत.
Don't die.,Не умирай.,मरो मत.
Don't lie.,Не лги.,झूठ मत बोलो.
Don't run.,Не беги.,भागो मत.
Excuse me.,Прошу прощения.,माफ़ करें।
Excuse me?,Прошу прощения?,माफ़ करें?
Fantastic!,Фантастика!,ज़बरदस्त!
Follow me.,Подписывайтесь на меня.,मेरे पीछे आओ।
Follow us.,Подписывайтесь на нас.,हमारे पर का पालन करें।
Forget it!,Забудь это!,रहने भी दो!
Forget it.,Забудь это.,रहने भी दो।
Forget me.,Забудь меня.,मुझे भूल जाओ।
Get a job.,Получить работу.,नौकरी मिलना।
Get ready.,Приготовься.,तैयार हो जाओ।
Go get it.,Иди возьми это.,इसे ले जाओ।
Go inside.,Войти в помещение.,अंदर जाओ।
Go slower.,Идите медленнее.,धीरे जाओ।
Go to bed.,Ложиться спать.,सोने जाओ।
Goodnight.,Спокойной ночи.,शुभ रात्रि।
Grab that.,Возьми это.,उसे पकड़ो.
Grab this.,Возьми это.,इसे पकड़ो.
Hands off.,Руки прочь.,दूर रहें।
Have some.,Есть немного.,कुछ तो लें।
He is ill.,Он болен.,वह बीमार है।
He shaved.,Он побрился.,उसने मुंडन कराया.
He smiled.,Он улыбнулся.,वे मुस्करा उठे।
He's a DJ.,Он диджей.,वह एक डीजे है.
He's busy.,Он занят.,वह व्यस्त है।
He's good.,Он хорош.,वह अच्छा है।
He's lazy.,Он ленив.,वह आलसी है.
He's mine.,Он мой.,वह मेरा है।
He's rich.,Он богат.,वह अमीर है.
Here I am.,А вот и я.,मैं यहां हूं।
Here's $5.,Вот 5 долларов.,यहाँ $5 है.
Hold fire.,Держать огонь.,आद पकड़ना।
Hold this.,Держи это.,इसे पकड़ें।
How awful!,Как ужасно!,इतना भयानक!
How funny!,Как весело!,कितना हास्यास्पद है!
How weird!,Как странно!,बहुत ही अजीब!
How's Tom?,Как Том?,टॉम कैसा है?
I am Thai.,Я тайец.,मैं थाई हूं।
I am cold.,Мне холодно.,मुझे ठंड लग रही है।
I am full.,Я полный.,मेरा पेट भरा है।
I am good.,У меня все хорошо.,मैं अच्छा हूँ।
I am lost.,Я потерян.,मैं हार गया हूँ।
I am okay.,Я в порядке.,मैं ठीक हूँ।
I am sick.,Я болею.,मैं बीमार हूं।
I am sure.,Я уверен.,मुझे यकीन है।
I am tall.,Я высокий.,मैं लंबा हूँ।
I am well.,У меня все в порядке.,मैं ठीक हूं।
I approve.,Я одобряю.,मैं मंजूरी देता हूँ।
I beg you.,Я прошу вас.,मैं तुमसे हाथ जोड़ कर प्रार्थना करता हूं।
I blinked.,Я моргнул.,मैंने पलकें झपकाईं.
I can fly.,Я могу летать.,मैं उड़ सकता हूँ.
I can run.,Я могу бегать.,मैं चल सकता हुँ।
I can ski.,Я умею кататься на лыжах.,मैं स्की कर सकता हूं।
I can win.,Я могу победить.,मैं जीत सकता हूँ।
I cheated.,Я жульничал.,मैने धोखा दिया।
I cheered.,Я приветствовал.,मैं खुश हो गया.
I coughed.,Я кашлянул.,मुझे खांसी हुई.
I crashed.,Я разбился.,मैं दुर्घटनाग्रस्त हो।
I cringed.,Я съежился.,मैं घबरा गया.
I escaped.,Я сбежал.,मैं बच गया।
I fainted.,Я потерял сознание.,मुझे बेहोशी छा गई।
I fear so.,"Я боюсь, что да.",मुझे ऐसा डर है.
I frowned.,Я нахмурился.,मैंने भौंहें सिकोड़ लीं.
I gave up.,Я сдался.,मैंने हार मान लिया।
I giggled.,Я хихикнул.,मैं खिलखिला पड़ा.
I give in.,Я сдаюсь.,मैंने हार मान ली।
I give up.,Я сдаюсь.,मैं हार मानता हूं।
I gloated.,Я злорадствовал.,मैं खुश हुआ.
I got hot.,Мне стало жарко.,मैं गर्म हो गया.
I got mad.,Я разозлилась.,मैं पागल हो गया।
I grinned.,Я ухмыльнулся.,मैं मुस्कुराया.
I groaned.,Я застонал.,मैं कराह उठा.
I grunted.,Я хмыкнул.,मैंने गुर्राया.
I hate TV.,Я ненавижу телевизор.,मुझे टीवी से नफरत है.
I hate it.,Я ненавижу это.,मुझे इससे नफरत है।
I have it.,У меня есть это.,यह मेरे पास है।
I hit Tom.,Я ударил Тома.,मैंने टॉम को मारा.
I hope so.,"Я надеюсь, что это так.",ऐसा ही हो।
I knew it.,Я знал это.,मैं जानता था।
I laughed.,Я смеялся.,मैं हँसा।
I like it.,Мне это нравится.,मुझे यह पसंद है।
I lost it.,Я потерял это.,मैंने इसे खो दिया।
I love it!,Я люблю это!,मुझे इससे प्यार है!
I made it.,Я сделал это.,इसे मैंने बनाया है।
I may win.,Я могу выиграть.,मैं जीत सकता हूँ.
I mean it!,Я серьезно!,वाकई!
I met Tom.,Я встретил Тома.,मैं टॉम से मिला.
I met him.,Я встретил его.,मैं उससे मिला।
I miss it.,Я скучаю по этому.,मैनें खो दिया।
I must go.,Я должен идти.,मुझे जाना चाहिए।
I need it.,Мне это нужно.,मुझे इसकी आवश्यकता है।
I noticed.,Я заметил.,मैंने ध्यान दिया।
I prepaid.,Я сделал предоплату.,मैंने प्रीपेड कर दिया.
I promise.,Я обещаю.,मैं वादा करता हूँ।
I relaxed.,Я расслабился.,मैंने आराम किया।
I retired.,Я вышел на пенсию.,मैं सेवानिवृत हो गया।
I said no.,Я сказал нет.,मैंने कहा नहीं।
I said so.,Я так сказал.,मैं ऐसा कहा।
