Russian
Идти.
Привет.
Бегать!
Бегать.
ВОЗ?
Ух ты!
Позвони Тому.
Не унывать!
Не унывать.
Остывать!
Наденьте на него наручники.
Не уходи.
Покататься на.
Найдите Тома.
Почини это.
Уходи!
Спускаться!
Спускаться.
Теряться!
Теряться.
Станьте реальностью!
Станьте реальностью.
"Вперед, продолжать!"
"Вперед, продолжать."
Заходите.
Хорошая работа!
Хватай Тома.
Хватай его.
Веселиться.
Он говорил.
Он пытался.
Он мокрый.
Помогите Тому.
"Привет, ребята."
Как мило!
Как глубоко?
Как грубо!
Рассмеши меня.
Торопиться.
Я согласился.
Я стар.
Я съел это.
Я рыгнул.
Я могу идти.
Я танцевал.
Я сделал это.
Я потерпел неудачу.
Я ахнул.
Я справляюсь.
Я облажался.
Я понял.
Я встал.
Я помог.
Я прыгнул.
Я посмотрел.
Я застонал.
Я кивнул.
Я повиновался.
Я сделал паузу.
Я звонил.
Я молился.
Я отказываюсь.
Я ухожу в отставку.
Я видел это.
Я побрился.
Я вздохнул.
Я улыбнулась.
Я остался.
Я говорил.
Я использую это.
Я ждал.
Я подмигнул.
Я зевнул.
Я бы подождал.
Я спрошу.
Я умру.
Я заплачу.
Я постараюсь.
Я выиграю.
Я диджей.
Я вернулся.
Я лысый.
Я занят.
Я спокоен.
Мне холодно.
Я крут.
Я глухой.
Я задолбался.
Мне легко.
Я честен.
Я быстрый.
Я в порядке.
Я свободен!
Я свободен.
Я сыт.
Я рад.
Я в порядке.
Я здесь.
Я высокий.
Я дома.
Мне больно.
Я последний.
Я опаздываю.
Мне лень.
Я заблудился.
Я злой.
Я аккуратный.
Я следующий.
Я онемела.
Я в порядке.
Я беден.
Я богат.
Я в безопасности.
Я болен.
Я медленный.
Я уверен.
Я высокая.
Я худой.
Я аккуратный.
Я страшная.
Мне тепло.
Я слаб.
Я в порядке.
Я мудрый.
Я выиграл.
Помогает.
Это больно.
Оно работает.
Это Том.
Это весело.
Это его.
Жарко.
Это новое.
Это странно.
Это старое.
Оно красное.
Грустно.
Держись подальше.
Убить Тома.
Поцелуй Тома.
Оставь это.
Оставь меня.
Оставь нас.
Пойдем!
Пойдем.
Высматривать!
Выходи за меня.
Могу я пойти?
Убегать.
Спасти Тома.
Она пришла.
Она умерла.
Она врет.
Она бежит.
Садиться!
Садиться.
Сидеть здесь.
Высказываться!
Поддерживать.
Вставать!
Вставать.
Оставайся на месте.
Останови Тома.
Возьмите Тома.
Попробуй это.
Скажи Тому.
Потрясающий!
Они выиграли.
Том пришел.
Том умер.
Том упал.
Том знал.
Том ушел.
Том солгал.
Том лжет.
Том проиграл.
Том заплатил.
Том ушел.
Том пел.
Том плавал.
Том пошел.
Том плакал.
Слишком поздно.
Потрогай это.
Поверьте мне.
Сильно стараться.
Попробуй немного.
Попробуй это.
Использовать это.
Предупреди Тома.
Мы согласны.
Мы попытались.
Мы пойдем.
Мы в порядке.
Зачем?
Как весело!
Кто пришел?
Который умер?
Кто упал?
Кто проиграл?
Кто заплатил?
Кто ушел?
Кто плавал?
Напиши мне.
Ты проиграла.
После Вас.
Цель. Огонь!
Я мертв?
Я опаздываю?
Ответьте мне.
Будь честным.
Птицы летают.
Будьте здоровы.
Позвони домой!
Успокоиться!
Успокоиться.
Могу ли я поесть?
Можем мы пойти?
Поймай Тома.
Поймай его.
Расслабляться.
Выбери меня.
Вычищать.
Вернись.
Идите сюда.
Иди домой.
Приезжать!
Приезжать.
Приходи быстрее.
Остывать.
Я выиграл?
Сделай это сейчас.
Собаки лают.
Не спрашивай.
Не плачь.
Не умирай.
Не лги.
Не беги.
Прошу прощения.
Прошу прощения?
Фантастика!
Подписывайтесь на меня.
Подписывайтесь на нас.
Забудь это!
Забудь это.
Забудь меня.
Получить работу.
Приготовься.
Иди возьми это.
Войти в помещение.
Идите медленнее.
Ложиться спать.
Спокойной ночи.
Возьми это.
Возьми это.
Руки прочь.
Есть немного.
Он болен.
Он побрился.
Он улыбнулся.
Он диджей.
Он занят.
Он хорош.
Он ленив.
Он мой.
Он богат.
А вот и я.
Вот 5 долларов.
Держать огонь.
Держи это.
Как ужасно!
Как весело!
Как странно!
Как Том?
Я тайец.
Мне холодно.
Я полный.
У меня все хорошо.
Я потерян.
Я в порядке.
Я болею.
Я уверен.
Я высокий.
У меня все в порядке.
Я одобряю.
Я прошу вас.
Я моргнул.
Я могу летать.
Я могу бегать.
Я умею кататься на лыжах.
Я могу победить.
Я жульничал.
Я приветствовал.
Я кашлянул.
Я разбился.
Я съежился.
Я сбежал.
Я потерял сознание.
"Я боюсь, что да."
Я нахмурился.
Я сдался.
Я хихикнул.
Я сдаюсь.
Я сдаюсь.
Я злорадствовал.
Мне стало жарко.
Я разозлилась.
Я ухмыльнулся.
Я застонал.
Я хмыкнул.
Я ненавижу телевизор.
Я ненавижу это.
У меня есть это.
Я ударил Тома.
"Я надеюсь, что это так."
Я знал это.
Я смеялся.
Мне это нравится.
Я потерял это.
Я люблю это!
Я сделал это.
Я могу выиграть.
Я серьезно!
Я встретил Тома.
Я встретил его.
Я скучаю по этому.
Я должен идти.
Мне это нужно.
Я заметил.
Я сделал предоплату.
Я обещаю.
Я расслабился.
Я вышел на пенсию.
Я сказал нет.
Я так сказал.
Я видел Тома.
Я видел его.
Я видел один.
Я видел тебя.
Я вижу Тома.
Я тебя вижу.
Я спал.
Я чихнул.
Я остановился.
Я изучал.
Я вспотел.
Я споткнулся.
Я хочу это.
Я был толстым.
Я был новичком.
Мне было грустно.
Я был застенчив.
Я был мокрым.
Я пойду.
Я проснулся.
Я бы согласился.
Я бы сделал это.
Я бы ушел.
Я позвоню.
Я приготовлю.
Я помогу.
Я буду жить.
Я проиграю.
Я подчинюсь.
Я соберу вещи.
Я передам.
Я уйду.
Я буду петь.
Я останусь.
Я остановлюсь.
Я буду плавать.
Я поговорю.
Я буду работать.
Я CPA.
Я полицейский.
Я - фанат.
Я мужчина.
Я монахиня.
Я профессионал.
Я шпион.
Я ветеринар.
Я жив.
Я одна.
Я зол.
Я вооружен.
Я проснулся.
Я слепой.
Я властный.
Я смелый.
Я сломлен.
Я чист.
Я сумасшедший.
Я выздоровел.
У меня голова кружится.
Я пьян.
Я умираю.
Я рано.
Я первый.
Я суетливый.
Я иду.
Я счастлив.
Я любил.
Я лояльный.
Я счастливчик.
Я лгу.
Я наивный.
Я голый.
Я нуждаюсь.
Я страдаю ожирением.
Я старше.
Я придирчив.
Я пухлый.
Я молчу.
Я готов!
Я готов.
Я прав.
Я невысокий.
Я маленький.
Я умный.
Я трезв.
Мне жаль.
Я застрял.
Я напряжен.
Я робкий.
Я подвыпивший.
Я устал.
Я жесткая.
Я расстроен.
Я не прав.
Я молод.
Я твой.
Я потерялся.
Игнорируй это.
Том в порядке?
Том дома?
Он Том?
Это плохо?
Это большая?
Это далеко?
Горячо?
Это новое?
Это ты?
Оно сгорело.
Это не удалось.
Шел дождь.
Шел снег.
Оно воняет.
Это сработало.
Сейчас 2:30.
Сейчас 3:30.
Сейчас 7:45.
Сейчас 8:30.
Сейчас 9:15.
Это телевизор.
Темно.
Оно мертво.
Готово!
Готово.
Это просто.
Это честно.
Его еда.
Это бесплатно.
Это хорошо.
Это сложно.
Это здесь.
Это ее.
Это огромная.
Уже поздно.
Оно потеряно.
Это мое.
Мило.
Все нормально.
Открыто.
Это наше.
Все кончено.
Это песок.
Пора.
Это правда!
Это правда.
Тепло.
Просто плавайте.
Держись подальше.
Держись подальше.
Сохранять спокойствие.
Сохранять хладнокровие.
Подавлять.
Держать их.
Держи это.
Держите в тепле.
Убей их.
Оставь Тома.
Уходи.
Будь как будет.
Отпусти меня!
Отпусти меня.
Впусти меня.
Впусти нас.
Давай спросим.
Давайте есть.
Давайте посмотрим.
Давайте кататься на лыжах.
Давай попробуем!
Давай попробуем.
Лежи спокойно.
Послушай.
Посмотрите в сторону.
Оглядываться!
Оглядываться.
Смотри сюда.
Ослабьте его.
Расслабьтесь.
Подвинься.
Хороший выстрел!
Конечно!
Конечно.
"О, пожалуйста!"
Открытый огонь!
Простите?
Снизить тон!
Пожалуйста иди.
Надень это.
Прочитай это.
Скажи «ааа».
Скажи привет.
Ищи меня.
См. выше.
См. ниже.
Схватите его!
Серьезно?
Воскликнула она.
Она пыталась.
Она идет.
Она горячая.
Подпишите здесь.
Подпишите это.
Сидеть на месте.
Сиди здесь.
Плотно держаться.
Замедлять!
Замедлять.
Начать сейчас.
Держись подальше.
Держись подальше.
Успокойся.
Оставайся внизу!
Оставайся внизу.
Оставайся здесь.
Остаться дома.
Шаг назад.
Остановитесь здесь.
Прекрати это!
Прекрати это.
Останови их.
Заботиться.
Возьми мой.
Перенимать.
Возьми это.
Спасибо.
Это нормально.
Вот и все.
Это я.
И что?
Они упали.
Они уехали.
Они лгали.
Они потеряли.
Они плавали.
Время вышло.
Том начал.
Том поклонился.
Том заботился.
Том заботится.
Том готовит.
Том плакал.
Том задремал.
Том вел машину.
Том в порядке.
Том внутри.
Том преклонил колени.
Том вяжет.
Том знает.
Том переехал.
Том читает.
Том спал.
Том говорил.
Том встал.
Том плавает.
Том выругался.
Том попробовал.
Том пытается.
Том проголосовал.
Том идет.
Том помахал рукой.
Том работает.
Том пойдёт.
Том толстый.
Том грустный.
Том застенчивый.
Доверься Тому.
Попробуйте еще раз.
Примерь.
Поверните налево.
Разблокируйте его.
Жди здесь.
Следи за Томом.
Осторожно!
Так держать!
Мы согласились.
Мы можем идти.
Мы сделали это!
Мы сделали это.
Мы потерпели неудачу.
Мы забыли.
Мы молились.
Мы это видели.
Мы улыбнулись.
Мы говорили.
Мы ждали.
Мы зевнули.
Посмотрим.
Ну попробуй.
Мы победим.
Нам жарко.
Нам грустно.
Мы застенчивы.
Мы победили!
Отличная работа!
Отличная работа.
Как дела?
Какая разница?
Кто водил?
Кто это?
Кто знает?
Кто говорил?
Кто стоял?
Кто пойдет?
Кто такой Том?
Кто болен?
Кто она?
Замечательный!
Напиши Тому.
Вы ведете.
Ты идиот!
Вы начинаете.
Ты воняешь.
Ты пытался.
Ты в порядке.
Цельтесь выше.
Все на борт!
Я чист?
Я умираю?
Я рано?
Меня уволили?
Я первый?
Меня наняли?
Я прав?
Я ошибаюсь?
Ответь Тому.
Тебе 18?
Ты в порядке?
Вы внутри?
Ты встал?
Спросите кого угодно.
Поспрашивать.
Будь осторожен!
Будь осторожен.
Быть довольным.
Быть вовремя.
Потерпи.
Будь серьезен.
Птицы поют.
Дно вверх!
Принести еду.
Принесите помощь.
Принесите вино.
Могу ли я прийти?
Могу ли я помочь?
Могу ли я петь?
Могу я остаться?
Несите это.
Проверь это.
Проверь это.
Выбери один.
Приходи еще.
Приходи один.
Приходите пораньше.
Заходи!
Приходи быстро!
Иди ко мне.
Приходи к нам.
Вырежьте это!
Вырежьте это.
Определенно!
Уничтожьте это.
Том ушел?
Мы выиграли?
Копайте быстрее.
Я воняю?
Заходите.
Мужчины плачут?
Ты катаешься на лыжах?
Не приходи.
Не волнуйтесь.
Не прыгай!
Не смотри.
Не двигайся!
Не двигайся.
Не подглядывай.
Не давите.
Не спешите.
Не пой.
Не поскользнись.
Не останавливайся.
Не разговаривай!
Не жди.
Не кричи.
Выпей это.
Долг зовет.
Ешьте медленно.
Наслаждайся жизнью.
Изучите его.
Лицом к фактам!
Заполнить его.
Найти работу.
Следуйте за Томом.
Следуй за ним.
Забудь Тома.
Забыть его.
Простите меня.
Прости нас.
Получить жизнь!
Пошевеливайся.
Отстань от меня.
Ложитесь спать.
Брось это.
Иди за Томом.
Выйдите на улицу.
Сходи к Тому.
Идти на работу.
Бог есть.
Спокойной ночи.
Он сдался.
Он сдался.
Он получил Д.
Он повесил трубку.
Он диджей.
Он занят.
Он здесь!
Он добр.
Он опоздал.
Он ленив.
Он хорош.
Он беден.
Он болен.
Он посмеялся.
Он сделал это.
Он швейцарец.
Он жестокий.
Он врет.
Он умный.
Направляйтесь на север.
Разогреть это.
"Привет, Том."
А вот и он!
Вот.
Вот Том.
Держитесь крепче.
Какой абсурд!
Как скучно!
Как умно!
Как Том?
Как мило!
Как трагично!
Как это было?
Как у тебя работа?
Спешить обратно.
Спешите домой.
Я признаю это.
Я - человек.
Я счастлив.
Я человек.
Я готов.
Я не ошибаюсь.
Я маленького роста.
Я умен.
Я разбил его.
Я построил это.
Я могу прийти.
Я могу готовить.
Я могу помочь.
Я могу прыгать.
Я могу читать.
Я могу петь.
Я могу остаться.
Я могу плавать.
Я могу подождать.
Я могу ходить.
Я не могу пойти.
Я отменил.
Я жую жвачку.
Я усмехнулся.
Я это сделал.
Я не согласен.
Я сомневаюсь в этом.
Я ем здесь.
Я ем мясо.
Я ем свинину.
Я ем рис.
Я ей завидую.
Я ему завидую.
Я тебе завидую.
Я тренируюсь.
Я плохо себя чувствую.
Я чувствую себя старым.
Мне грустно.
Я плохо себя чувствовал.
Я почувствовал себя плохо.
Мне было грустно.
Я починил это.
Я вздрогнул.
Я нашел это.
Я потерял.
Я заболел.
"Полагаю, что так."
Мне помогли.
Я тебя ненавижу.
У меня есть такой.
Я победил.
Я слышу тебя.
Я помогаю Тому.
Я помогаю ему.
Надеюсь нет.
Я только что поел.
Я знал Тома.
Я знаю Тома.
Я знаю ее.
Я его знаю.
Теперь я знаю.
Я знаю тебя.
Я оставил Тома.
Мне нравится Том.
Я люблю искусство.
Мне нравится ветчина.
Мне он нравится.
Я люблю чай.
Ты мне нравишься.
Мне нравится.
Я слушал.
Я люблю Тома.
Я люблю ее.
Я люблю его.
Я люблю чай.
Я тебя люблю.
Я заварила чай.
Я сделал два.
Я встретил их.
Я скучаю по Тому.
Я скучаю по тебе.
Я должен бежать.
Мне нужен Том.
Мне нужен воздух.
Мне нужен лед.
Ты мне нужен.
Я заплатил Тому.
Я запаниковал.
Мне жаль тебя.
Я обещал.
Я убежал.
Я уступил.
Я помню.
Я ушел в отставку.
Я сказал да.
Я присел.
Я видел это.
Я их видел.
Я закричал.
Я вижу это.
Я вижу их.
Я вздрогнул.
Я застрелил Тома.
Я пожал плечами.
Я прищурился.
Я встал.
Я выжил.
Я так думаю.
Меня вырвало.
Я рассказал Тому.
Я попробовал это.
Я использую это.
Меня не было на месте.
Я был занят.
Мне было холодно.
Я был здесь.
Я опоздал.
Я был потерян.
Я был беден.
Я был груб.
Меня застрелили.
Я болел.
Я был слаб.
Я свистнул.
Я постараюсь.
Я не пойду.
Я тренируюсь.
Я написал это.
Я бы принял.
Я бы купил это.
Со мной все будет в порядке.
Я проверю.
Я сделаю это.
Я сделаю это.
Я поеду.
Я войду.
Я потороплюсь.
Я уеду.
Я буду стрелять.
Я буду стоять.
Я начну.
Я напишу.
Мне сейчас 30.
Теперь я в порядке.
Я повар.
Я - девушка.
Я герой.
Я лжец.
Я в беспорядке.
Я монах.
Я поэт.
Я временный.
Я близнец.
Я слабак.
Боюсь.
Мне весело.
У меня анемия.
Я пеку.
Мне лучше.
Я предвзят.
Я умный.
Я в замешательстве.
Я покупаю.
Я круглолицый.
Я умный.
Я неуклюжий.
Я иду.
Я хитрый.
Я прямой.
Я увлечен.
Я ем.
Я знаменит.
Я быстрее.
Я дряблый.
Я за это.
Я бережливый.
Я жадный.
Я не в себе.
Я виноват.
Я прячусь.
Я честен.
Я скромный.
Я голоден!
Я голоден.
У меня иммунитет.
Я в кровати.
Я внутри.
Шучу.
Я загружен.
Я одинок.
Я проигрываю.
Незрелый.
Я двигаюсь.
Я нормальный.
Я не в порядке.
Я не внутри.
Я плачу.
Я отдохнул.
Я разорен.
Я боюсь.
Я потрясен.
Я тощий.
Я сонный!
Я сонный.
Я хитрый.
Я такой толстый.
Я так зол.
Я промок.
Я стабилен.
Я строгий.
Я сильный.
Я тупой.
Мне тридцать.
Я пытаюсь.
Я двенадцать.
Я невредим.
Я не уверен.
Я неопрятный.
Я нездоров.
Я устал.
Я ел.
Я пробовал.
Не обращай внимания на Тома.
Игнорируй его.
Том большой?
Том толстый?
Том болен?
Он высокий?
Это синий?
Готово?
Это бесплатно?
Это сложно?
Это здесь?
Это любовь?
Это безопасно?
Пришло время?
Это правда?
Это нормально?
Это я?
Это так?
Это нормально?
Это оно?
Бывает.
Сейчас 7:30.
Сейчас 7:45.
Тепло.
Это важно.
Это был Том.
Это было плохо.
Оно было большим.
Это было весело.
Это было грустно.
Все прошло нормально.
Оно сгорит.
Это заживет.
Это сработает.
Это Тома.
Это ставка.
Это ужасно.
Это пусто.
Это дешево.
Чисто.
Ясно.
Это близко.
Еще рано.
Оно пустое.
Это забавно.
Это зеленый.
Это магия.
Это мой компакт-диск.
Сейчас ночь.
Готово.
Это безопаснее.
Это страшно.
Это мило.
Это здесь.
Это вода.
Это странно.
Это белый.
Это ваше.
Иисус плакал.
Просто сделай это.
Просто оставить.
Просто расслабься.
Продолжать идти.
Так держать!
Ведите заметки.
Соблюдайте тишину!
Соблюдайте тишину.
Положитесь на меня.
Уехать из города.
Отпусти Тома.
Впусти Тома.
Отпусти его!
Отпусти его.
Впусти его.
Позволь мне умереть.
Выпусти меня!
Выпусти меня.
Позвольте мне заплатить.
Дайте-ка подумать.
Дай мне попробовать.
Выпустите нас.
Давай общаться.
Давай поцелуемся.
Давайте играть.
Давайте помолимся.
Давай уйдем.
Давайте отдохнем.
Давай споем.
Давай поплаваем.
Давай поговорим.
Давайте проголосуем.
Давайте ждать.
Давай прогуляемся.
Давай работать.
Расслабьтесь.
Посмотри снова.
Смотреть вперед.
Выгляди живым.
Посмотри на это.
Посмотри на меня.
Посмотри на нас.
Искать там.
Любовь причиняет боль.
Любовь длится.
Мама плакала.
Могу я помочь?
Можно мне поплавать?
Неважно!
Без комментариев.
Без шуток?
Без проблем!
Без проблем.
Никто не побежал.
Теперь входи.
Теперь попробуйте.
Да неужели?
Снова.
Упакуйте свет.
Поднимите это.
Ешьте пожалуйста.
"Садитесь, пожалуйста."
Защити меня.
Успокоиться.
Замени это.
Скажи сыр.
Скажи пожалуйста.
Тень его.
Она старая.
Она занята.
Она моя.
Она милая.
Подвинься.
Подпевайте.
Понюхай это.
Отойди!
Начало здесь.
Начать сначала.
Будь настороже.
Бодрствуйте.
Находиться рядом.
Оставайся проницательным.
Оставайся на месте.
Оставайся там.
Отойдите в сторону.
Перестань лгать.
Останавливаться на достигнутом.
Усердно учиться.
Больше учиться.
Ехать автобусом.
Вздремнуть.
Укройтесь!
Делать заметки.
Возьми это.
Поговори со мной!
Поговори со мной.
Поговори с нами.
Попробуй это.
Это мальчик!
Это больно.
Это работает.
Это сработает.
Это Том.
Вот и все.
Это смешно.
Это ее.
Это он.
Это его.
Это новое.
Странно.
Печально.
Они согласны.
Они обманывают.
Они спали.
Они пытались.
Они проголосовали.
Это оно.
Это я.
Это работает.
Время летит.
Время истекло.
Том согласился.
Том соглашается.
Том съел это.
Том меня укусил.
Том затормозил.
Том рыгнул.
Том позвонил.
Том обманывает.
Том танцевал.
Том танцует.
Том сделал это.
Том пьет.
Том водит машину.
Том потерпел неудачу.
Том забыл.
Том дрался.
Том ахнул.
Том встал.
У Тома оно есть.
Том помог.
Том ударил меня.
Том плохой.
Том большой.
Том толстый.
Том болен.
Том злится.
Том новый.
Том странный.
Том стар.
Том вышел.
Том грустен.
Том застенчив.
Том мокрый.
Том подпрыгнул.
Том посмотрел.
Том застонал.
Том кивнул.
Том позвонил.
Том молился.
Том отдыхал.
Том видел это.
Том увидел меня.
Том видел нас.
Том побрился.
Том вздохнул.
Том улыбнулся.
Том курит.
Том храпел.
Том храпит.
Том остался.
Том говорил.
Том ждал.
Том пошел.
Том был в порядке.
Том был дома.
Том подмигнул.
Том работал.
Том зевнул.
Том кричал.
Том будет плакать.
Том умрет.
Том заплатит.
Том занят.
Том мертв.
Том глухой.
Том умер.
Том быстрый.
Том свободен.
Том рад.
Том ушел.
Том здесь.
Том дома.
Том ранен.
Том ушел.
Том злой.
Том в безопасности.
Том выстрелил.
Том болен.
Том уродлив.
Том слаб.
Том в порядке.
Стараться.
Включите его.
Включите его.
Поверните направо.
Подожди немного.
Подожди секунду.
Он был Томом?
Это было весело?
Смотри.
Мы все умираем.
Мы все лжем.
Мы люди.
Мы покупаем компакт-диски.
Мы можем заплатить.
Мы можем попробовать.
Мы можем выиграть.
Мы победили.
Было весело.
Мы надеемся на это.
Мы смеялись.
Нам это нравится.
Мы потеряли это.
Мы любим это.
Мы сделали это.
Мы должны идти.
Нам это нужно.
Мы видели Тома.
Мы видели тебя.
Мы этого хотим.
Мы будем готовить.
Мы потерпим неудачу.
Мы поможем.
Мы подчинимся.
Мы будем петь.
Мы будем плавать.
Мы подождем.
Мы пойдем.
Мы будем работать.
Мы вернулись.
Мы мальчики.
Были заняты.
Мы спокойны.
Нам холодно.
Мы круты.
Были сделаны.
Мы даже.
Мы честны.
У нас все в порядке.
Мы свободны!
Мы свободны.
Мы полны.
Были здесь.
Мы дома.
Мы опаздываем.
Мы ленивы.
Были потеряны.
Мы следующие.
Мы бедные.
Мы богаты.
Мы в безопасности.
Мы больны.
Мы слабы.
У нас все хорошо.
Что за день!
Что дает?
Что нового?
Где я?
Кто мы?
Кто сделал это?
У кого оно есть?
Кто такой Том?
Кто она?
Кто звонил?
Кто меня видел?
Кто остался?
Кто был он?
Кто это был?
Кто кричал?
Кто свободен?
Кто здесь?
Кто следующий?
Кто болен?
Кто это?
Зачем беспокоиться?
Дерево горит.
Ты согласился.
Вы назвали?
Можешь идти.
Вам решать.
Ты сделал это!
Ты сделал это.
Ты можешь идти.
Вы пропустили.
Ты должен мне.
Вот увидишь.
Ты плохой.
Ты шутник.
Ты странный.
Вы старый.
Тебе грустно.
Вы застенчивы.
Вы выиграли!
Вы выиграли.
Все хорошо.
Я глупый?
Кто-нибудь дома?
Кто-нибудь пострадал?
Мы все?
Мы потерялись?
Мы в безопасности?
Ты Том?
Ты толстая?
Тебе жарко?
Вы с ума сошли?
Ты новенький?
Ты грустный?
Вы застенчивы?
Спросите кого угодно.
Спроси Тома.
Будь креативным.
Будьте осторожны.
Будь дружелюбным.
Будьте щедры.
Будьте милосердны.
Будь готов.
Быть пунктуальным.
Будьте безжалостны.
Будьте разумны.
Быть конкретной.
Будьте терпимы.
Будьте бдительны.
Будьте бдительны.
Будь собой.
Пиво хорошее.
Вести себя хорошо.
Зови меня Том.
Могу ли я начать?
Могу я выйти?
Может ли это подождать?
Можем ли мы прийти?
Можем ли мы помочь?
Можем ли мы петь?
Можем ли мы остановиться?
Можем ли мы плавать?
Видишь?
Можешь ли ты кататься на лыжах?
Ты можешь попробовать?
Отмени это.
Проверить снова.
Поднимайтесь на борт.
Подойти ближе.
Входи внутрь.
Утешай Тома.
Свяжитесь с Томом.
Положитесь на меня.
Том плакал?
Том умер?
Том поел?
Том сбежал?
Том пробовал?
Том победил?
Это помогло?
Было больно?
Это сработало?
Ты бежал?
Ты выиграл?
"Делай, как я прошу."
Делай как я говорю.
Сделайте это снова!
Сделайте это снова.
Сделайте это позже.
Вы заботитесь?
Вы ловите рыбу?
Вы не возражаете?
Ты поешь?
Вы работаете?
Делай свою работу.
Не спорьте.
Не обманывайте.
Не делай этого!
Не делай этого.
Не ссорьтесь.
Не злорадствуйте.
Не смейтесь.
Не уходи!
Не уходи.
Не паникуйте!
Не паникуйте.
Не стреляйте!
Не стреляйте.
Не кричи.
Не улыбайся.
Не курите.
Не стой.
Не смотри.
Не ругайся.
Не волнуйся.
Ешьте с нами.
Закончи это.
Бросить монетку.
Прости Тома.
Переодеться.
Одеваться.
Встать в очередь.
Будьте серьёзны!
Будьте серьёзны.
Начать.
Принимайтесь за работу!
Принимайтесь за работу.
"Вставай, немедленно!"
Уходи сейчас же.
Иди найди Тома.
Иди узнай.
Идите за помощью.
Иди за помощью.
Иди помоги Тому.
Идите на борт.
Иди садись.
Езжайте прямо.
"Иди, скажи Тому."
Идите туда.
Идти спать.
Иди с Томом.
Выпейте пива.
Взгляни.
Присаживайся.
Мы встречались?
Он может прийти.
Он умеет читать.
Он может плавать.
Он усмехнулся.
Он нашел это.
Он ушел.
Он постарел.
Он пришел!
У него есть смелость.
У него есть вино.
Он помогает нам.
Он один.
Он сумасшедший.
Ему восемь.
Он счастлив.
Его ненавидят.
Он лжет.
Он противный.
Он устал.
Он молод.
Он любит меня.
Он любит нас.
Ему это нужно.
Он уступил.
Он прищурился.
Он встал.
Он был занят.
Он придурок.
Он лжец.
Он ботаник.
Он неряха.
Он спит.
Он идет.
Он притворяется.
Он моего возраста.
Его нет внутри.
Он худой.
Он сильный.
Выслушай меня.
И снова здравствуйте.
Выручи меня.
Вот она!
Мы здесь!
Мы здесь.
"Вот, лови!"
"Эй, вставай."
"Привет, я Том."
Держи мою сумку.
Как вы?
Как любопытно!
Как жизнь?
Как странно!
Я обожаю Тома.
Я тебя обожаю.
Я тоже пошел.
Я монах.
Я близнец.
Я - лучше.
Я иду.
Я дремлю.
Я в сети.
Я выше.
Я прошу прощения.
Я спросил Тома.
"Я спросил, почему."
Я так предполагаю.
Я виню Тома.
Я купил это.
Я похоронил это.
Я сжег его.
Я вернулся.
Я могу танцевать.
Я могу сделать это.
Я могу водить.
Я умею кататься на коньках.
Я не могу есть.
Я не могу летать.
Я не могу сказать.
Я не вижу.
Я не могу победить.
Я поймал это.
Я признался.
Я мог бы попробовать.
Я мог бы победить.
Я много плачу.
Я не пошел.
Я не согласился.
